"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-10-06","A","310","0","310","B"
"NQTRF","2023-10-06","A","165105","167","639134","Q"
"NYTRF","2023-10-06","A","1852","0","6104","N"
"NYTRF","2023-10-06","AA","26328","566","50332","N"
"NQTRF","2023-10-06","AA","1051152","2569","2452762","Q"
"NCTRF","2023-10-06","AA","523","0","6491","B"
"NQTRF","2023-10-06","AAA","732","0","1532","Q"
"NYTRF","2023-10-06","AAAU","9858","0","101943","N"
"NQTRF","2023-10-06","AAAU","229075","0","1000876","Q"
"NCTRF","2023-10-06","AAAU","1","0","63","B"
"ORF","2023-10-06","AABB","1699481","0","5509398","O"
"NQTRF","2023-10-06","AAC","144267","0","1284304","Q"
"NCTRF","2023-10-06","AAC","105","0","505","B"
"NYTRF","2023-10-06","AAC","11","0","33","N"
"NQTRF","2023-10-06","AAC/WS","2367","0","4642","Q"
"ORF","2023-10-06","AACAY","849","0","37803","O"
"NQTRF","2023-10-06","AACG","20","0","150","Q"
"NYTRF","2023-10-06","AACG","111","0","269","N"
"ORF","2023-10-06","AACTF","400","0","800","O"
"NYTRF","2023-10-06","AADI","279","258","313","N"
"NQTRF","2023-10-06","AADI","17381","0","28889","Q"
"NQTRF","2023-10-06","AADR","275","271","1033","Q"
"ORF","2023-10-06","AAFRF","3184","0","3184","O"
"ORF","2023-10-06","AAGC","4595238","0","5520200","O"
"ORF","2023-10-06","AAGFF","119607","0","169957","O"
"ORF","2023-10-06","AAGIY","102532","0","503370","O"
"NQTRF","2023-10-06","AAIC","5872","0","26020","Q"
"NYTRF","2023-10-06","AAIC","182","0","591","N"
"NQTRF","2023-10-06","AAICpC","164","0","164","Q"
"ORF","2023-10-06","AAIGF","6475","0","29974","O"
"NCTRF","2023-10-06","AAL","9464","0","14267","B"
"NYTRF","2023-10-06","AAL","471077","6031","819811","N"
"NQTRF","2023-10-06","AAL","7159011","16046","16692495","Q"
"ORF","2023-10-06","AALBF","120","0","120","O"
"NQTRF","2023-10-06","AAMC","388","0","2755","Q"
"NQTRF","2023-10-06","AAME","1","0","56","Q"
"NQTRF","2023-10-06","AAN","35109","0","69520","Q"
"NYTRF","2023-10-06","AAN","401","0","646","N"
"NCTRF","2023-10-06","AAOI","1028","0","5518","B"
"NYTRF","2023-10-06","AAOI","9858","889","19424","N"
"NQTRF","2023-10-06","AAOI","230038","6027","443755","Q"
"NQTRF","2023-10-06","AAON","28250","23","45650","Q"
"NYTRF","2023-10-06","AAON","40","18","751","N"
"NCTRF","2023-10-06","AAON","135","0","174","B"
"NCTRF","2023-10-06","AAP","1766","0","1958","B"
"NYTRF","2023-10-06","AAP","6442","2036","11596","N"
"NQTRF","2023-10-06","AAP","322245","1664","557351","Q"
"NQTRF","2023-10-06","AAPB","2138","0","5674","Q"
"NYTRF","2023-10-06","AAPB","47","0","69","N"
"NQTRF","2023-10-06","AAPD","7921","5","81743","Q"
"NYTRF","2023-10-06","AAPD","334","22","2510","N"
"NCTRF","2023-10-06","AAPD","1","0","201","B"
"ORF","2023-10-06","AAPJ","15805411","0","25654499","O"
"NQTRF","2023-10-06","AAPL","9063973","47888","19777392","Q"
"NYTRF","2023-10-06","AAPL","504230","6508","971806","N"
"NCTRF","2023-10-06","AAPL","24818","0","84330","B"
"NQTRF","2023-10-06","AAPU","34726","0","56109","Q"
"NCTRF","2023-10-06","AAPU","50","0","1151","B"
"NYTRF","2023-10-06","AAPU","7854","36","9905","N"
"NYTRF","2023-10-06","AAT","716","0","916","N"
"NQTRF","2023-10-06","AAT","24906","0","49061","Q"
"ORF","2023-10-06","AATC","2159","0","2681","O"
"NQTRF","2023-10-06","AAU","11453","0","43710","Q"
"NYTRF","2023-10-06","AAU","8","0","169","N"
"ORF","2023-10-06","AAUGF","9000","0","9000","O"
"ORF","2023-10-06","AAUKF","690","0","727","O"
"ORF","2023-10-06","AAVMY","3578","0","9437","O"
"ORF","2023-10-06","AAVVF","160","0","2563","O"
"ORF","2023-10-06","AAWH","23221","0","69969","O"
"NYTRF","2023-10-06","AAXJ","1","0","2","N"
"NQTRF","2023-10-06","AAXJ","34375","2000","66615","Q"
"NQTRF","2023-10-06","AB","39865","501","112198","Q"
"NYTRF","2023-10-06","AB","63","62","11731","N"
"NYTRF","2023-10-06","ABAT","811","0","1420","N"
"NQTRF","2023-10-06","ABAT","23184","482","53644","Q"
"ORF","2023-10-06","ABBNY","267353","0","571733","O"
"ORF","2023-10-06","ABBRF","28044","0","125622","O"
"NCTRF","2023-10-06","ABBV","1488","0","3017","B"
"NYTRF","2023-10-06","ABBV","148129","68","154257","N"
"NQTRF","2023-10-06","ABBV","470401","697","1315366","Q"
"NYTRF","2023-10-06","ABCB","7","7","107","N"
"NQTRF","2023-10-06","ABCB","33675","3","49205","Q"
"ORF","2023-10-06","ABCFF","1","0","5001","O"
"NQTRF","2023-10-06","ABCL","171278","27","293005","Q"
"NYTRF","2023-10-06","ABCL","6876","0","18270","N"
"NYTRF","2023-10-06","ABCM","18211","0","27009","N"
"NQTRF","2023-10-06","ABCM","1040291","100","4087052","Q"
"NCTRF","2023-10-06","ABEO","100","0","100","B"
"NQTRF","2023-10-06","ABEO","27441","0","97629","Q"
"NYTRF","2023-10-06","ABEO","3411","0","3519","N"
"ORF","2023-10-06","ABEPF","93000","0","143300","O"
"NQTRF","2023-10-06","ABEQ","313","0","5646","Q"
"NCTRF","2023-10-06","ABEV","254","0","12579","B"
"NYTRF","2023-10-06","ABEV","61541","0","92159","N"
"NQTRF","2023-10-06","ABEV","2702754","7386","6202080","Q"
"NQTRF","2023-10-06","ABG","19911","26","26978","Q"
"NCTRF","2023-10-06","ABG","7","0","32","B"
"NYTRF","2023-10-06","ABG","300","20","341","N"
"NQTRF","2023-10-06","ABIO","830","0","4292","Q"
"ORF","2023-10-06","ABIT","64210","0","84361","O"
"NQTRF","2023-10-06","ABL","2080","0","2945","Q"
"NQTRF","2023-10-06","ABLLW","4500","0","11821","Q"
"NQTRF","2023-10-06","ABLV","332","0","808","Q"
"NYTRF","2023-10-06","ABLV","30","0","51","N"
"NYTRF","2023-10-06","ABM","118","0","401","N"
"NQTRF","2023-10-06","ABM","30453","29","69231","Q"
"NCTRF","2023-10-06","ABM","135","0","290","B"
"ORF","2023-10-06","ABMC","70","0","270","O"
"NQTRF","2023-10-06","ABNB","1099391","722","1738088","Q"
"NCTRF","2023-10-06","ABNB","14985","0","19759","B"
"NYTRF","2023-10-06","ABNB","60139","240","77478","N"
"NCTRF","2023-10-06","ABOS","700","0","823","B"
"NQTRF","2023-10-06","ABOS","107129","0","185779","Q"
"NYTRF","2023-10-06","ABOS","1039","0","4381","N"
"ORF","2023-10-06","ABQQ","25000","0","12140901","O"
"NCTRF","2023-10-06","ABR","50377","0","50417","B"
"NQTRF","2023-10-06","ABR","1363078","288","1744462","Q"
"NYTRF","2023-10-06","ABR","19761","0","25377","N"
"ORF","2023-10-06","ABRMF","10070","0","10070","O"
"NQTRF","2023-10-06","ABRpD","4472","0","8438","Q"
"NYTRF","2023-10-06","ABRpD","148","0","165","N"
"NYTRF","2023-10-06","ABRpE","104","0","104","N"
"NQTRF","2023-10-06","ABRpE","363","0","1570","Q"
"NYTRF","2023-10-06","ABRpF","44","0","44","N"
"NQTRF","2023-10-06","ABRpF","2239","0","6188","Q"
"NYTRF","2023-10-06","ABSI","107","0","13747","N"
"NQTRF","2023-10-06","ABSI","52826","0","92010","Q"
"ORF","2023-10-06","ABSSF","520","0","2520","O"
"NYTRF","2023-10-06","ABT","18061","30","25657","N"
"NQTRF","2023-10-06","ABT","696027","713","1517960","Q"
"NCTRF","2023-10-06","ABT","59","0","222","B"
"NQTRF","2023-10-06","ABUS","103938","0","216867","Q"
"NYTRF","2023-10-06","ABUS","2155","0","8174","N"
"NQTRF","2023-10-06","ABVC","24293","820","29362","Q"
"NYTRF","2023-10-06","ABVC","1105","85","2331","N"
"ORF","2023-10-06","ABXXF","250","0","2856","O"
"NYTRF","2023-10-06","AC","1","0","1","N"
"NQTRF","2023-10-06","AC","356","0","2102","Q"
"NYTRF","2023-10-06","ACA","150","0","748","N"
"NQTRF","2023-10-06","ACA","22169","0","37769","Q"
"NQTRF","2023-10-06","ACAB","2","0","2","Q"
"NCTRF","2023-10-06","ACAD","1","0","1","B"
"NQTRF","2023-10-06","ACAD","128175","0","233050","Q"
"NYTRF","2023-10-06","ACAD","406","0","1956","N"
"NYTRF","2023-10-06","ACAQ","5937","1061","13761","N"
"NQTRF","2023-10-06","ACAQ","63376","3200","160961","Q"
"NCTRF","2023-10-06","ACAQ","454","0","1366","B"
"NQTRF","2023-10-06","ACAQ/U","26","0","212","Q"
"NQTRF","2023-10-06","ACAQ/WS","100","100","1900","Q"
"NQTRF","2023-10-06","ACAX","2","0","502","Q"
"NQTRF","2023-10-06","ACAXW","200","0","200","Q"
"ORF","2023-10-06","ACAZF","525","0","816","O"
"NYTRF","2023-10-06","ACB","55088","0","137144","N"
"NQTRF","2023-10-06","ACB","1979920","18962","3022539","Q"
"NCTRF","2023-10-06","ACB","850","0","1180","B"
"NCTRF","2023-10-06","ACCD","538","0","2238","B"
"NYTRF","2023-10-06","ACCD","3344","72","3945","N"
"NQTRF","2023-10-06","ACCD","157704","2785","397499","Q"
"NQTRF","2023-10-06","ACCO","20248","0","115216","Q"
"NYTRF","2023-10-06","ACCO","41","0","279","N"
"ORF","2023-10-06","ACCR","167723","0","172924","O"
"NCTRF","2023-10-06","ACDC","299","0","308","B"
