"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-10-09","LHX","1185","0","2105","B"
"NQTRF","2023-10-09","LHX","371917","56","1069884","Q"
"NYTRF","2023-10-09","LHX","5890","0","7942","N"
"NCTRF","2023-10-06","LHX","250","0","450","B"
"NYTRF","2023-10-06","LHX","72330","0","86410","N"
"NQTRF","2023-10-06","LHX","145839","425","479499","Q"
"NCTRF","2023-10-05","LHX","205","0","211","B"
"NYTRF","2023-10-05","LHX","799","12","3775","N"
"NQTRF","2023-10-05","LHX","233272","93","687247","Q"
"NQTRF","2023-10-04","LHX","292444","571","900005","Q"
"NCTRF","2023-10-04","LHX","540","0","659","B"
"NYTRF","2023-10-04","LHX","6816","0","15274","N"
"NYTRF","2023-10-03","LHX","1568","0","6763","N"
"NCTRF","2023-10-03","LHX","395","0","585","B"
"NQTRF","2023-10-03","LHX","167711","279","422076","Q"
"NYTRF","2023-10-02","LHX","1586","0","2722","N"
"NQTRF","2023-10-02","LHX","170385","0","480523","Q"
"NCTRF","2023-10-02","LHX","172","0","199","B"
"NYTRF","2023-09-29","LHX","22153","13","24450","N"
"NCTRF","2023-09-29","LHX","195","0","314","B"
"NQTRF","2023-09-29","LHX","151598","158","348665","Q"
"NCTRF","2023-09-28","LHX","92","0","512","B"
"NYTRF","2023-09-28","LHX","4203","16","9879","N"
"NQTRF","2023-09-28","LHX","156851","416","1178454","Q"
"NQTRF","2023-09-27","LHX","179853","122","374979","Q"
"NYTRF","2023-09-27","LHX","8026","0","12977","N"
"NCTRF","2023-09-27","LHX","17","0","47","B"
"NQTRF","2023-09-26","LHX","127758","808","323006","Q"
"NYTRF","2023-09-26","LHX","965","0","41991","N"
"NQTRF","2023-09-25","LHX","127498","160","273705","Q"
"NYTRF","2023-09-25","LHX","1044","0","2588","N"
"NCTRF","2023-09-25","LHX","6","0","71","B"
"NYTRF","2023-09-22","LHX","3569","0","7104","N"
"NQTRF","2023-09-22","LHX","191657","139","358544","Q"
"NYTRF","2023-09-21","LHX","3982","0","5092","N"
"NCTRF","2023-09-21","LHX","1869","0","1946","B"
"NQTRF","2023-09-21","LHX","188500","27","432437","Q"
"NQTRF","2023-09-20","LHX","165505","180","396151","Q"
"NCTRF","2023-09-20","LHX","28","0","537","B"
"NYTRF","2023-09-20","LHX","8745","0","12503","N"
"NQTRF","2023-09-19","LHX","221518","145","392218","Q"
"NYTRF","2023-09-19","LHX","2550","0","3324","N"
"NCTRF","2023-09-19","LHX","50","0","60","B"
"NYTRF","2023-09-18","LHX","513","35","5081","N"
"NCTRF","2023-09-18","LHX","597","0","875","B"
"NQTRF","2023-09-18","LHX","155441","614","380390","Q"
"NCTRF","2023-09-15","LHX","46","0","54","B"
"NYTRF","2023-09-15","LHX","649","0","2990","N"
"NQTRF","2023-09-15","LHX","118465","1157","409011","Q"
"NCTRF","2023-09-14","LHX","62","0","811","B"
"NQTRF","2023-09-14","LHX","84569","372","470695","Q"
"NYTRF","2023-09-14","LHX","4866","0","14100","N"
"NQTRF","2023-09-13","LHX","115388","319","391364","Q"
"NCTRF","2023-09-13","LHX","89","0","131","B"
"NYTRF","2023-09-13","LHX","1803","9","4521","N"
"NYTRF","2023-09-12","LHX","253","0","2181","N"
"NCTRF","2023-09-12","LHX","15","0","17","B"
"NQTRF","2023-09-12","LHX","82145","70","297235","Q"
"NYTRF","2023-09-11","LHX","1867","0","7051","N"
"NQTRF","2023-09-11","LHX","102656","218","412741","Q"
"NCTRF","2023-09-11","LHX","343","0","658","B"
"NCTRF","2023-09-08","LHX","114","0","182","B"
"NYTRF","2023-09-08","LHX","4459","9","7257","N"
"NQTRF","2023-09-08","LHX","114023","2096","386507","Q"
"NYTRF","2023-09-07","LHX","350","0","5567","N"
"NCTRF","2023-09-07","LHX","223","0","493","B"
"NQTRF","2023-09-07","LHX","105005","730","400048","Q"
"NYTRF","2023-09-06","LHX","1050","0","5877","N"
"NQTRF","2023-09-06","LHX","136670","117","403891","Q"
"NCTRF","2023-09-06","LHX","347","0","374","B"
"NYTRF","2023-09-05","LHX","2023","138","7465","N"
"NCTRF","2023-09-05","LHX","291","0","344","B"
"NQTRF","2023-09-05","LHX","116825","716","420231","Q"
"NQTRF","2023-09-01","LHX","59360","1481","291924","Q"
"NYTRF","2023-09-01","LHX","532","0","8067","N"
"NCTRF","2023-09-01","LHX","29","0","33","B"
"NYTRF","2023-08-31","LHX","407","0","4580","N"
"NCTRF","2023-08-31","LHX","9","0","138","B"
"NQTRF","2023-08-31","LHX","110395","732","373659","Q"
"NCTRF","2023-08-30","LHX","17","0","78","B"
"NYTRF","2023-08-30","LHX","3375","16","6242","N"
"NQTRF","2023-08-30","LHX","140788","253","523671","Q"
"NCTRF","2023-08-29","LHX","126","0","186","B"
"NQTRF","2023-08-29","LHX","138857","962","390465","Q"
"NYTRF","2023-08-29","LHX","1934","25","5027","N"
"NQTRF","2023-08-28","LHX","146235","63","447531","Q"
"NCTRF","2023-08-28","LHX","682","0","1219","B"
"NYTRF","2023-08-28","LHX","783","0","1873","N"
"NCTRF","2023-08-25","LHX","282","0","482","B"
"NQTRF","2023-08-25","LHX","73294","7170","288419","Q"
"NYTRF","2023-08-25","LHX","780","320","2685","N"
"NQTRF","2023-08-24","LHX","90088","51","278341","Q"
"NYTRF","2023-08-24","LHX","1066","0","5679","N"
"NCTRF","2023-08-24","LHX","433","0","561","B"
"NCTRF","2023-08-23","LHX","208","0","566","B"
"NYTRF","2023-08-23","LHX","2596","94","7965","N"
"NQTRF","2023-08-23","LHX","108803","406","385943","Q"
"NYTRF","2023-08-22","LHX","586","0","1695","N"
"NQTRF","2023-08-22","LHX","82321","1947","225873","Q"
"NCTRF","2023-08-22","LHX","122","0","538","B"
"NYTRF","2023-08-21","LHX","1032","0","3239","N"
"NCTRF","2023-08-21","LHX","683","0","1441","B"
"NQTRF","2023-08-21","LHX","100036","33","293123","Q"
"NCTRF","2023-08-18","LHX","506","0","615","B"
"NYTRF","2023-08-18","LHX","421","0","1527","N"
"NQTRF","2023-08-18","LHX","66888","3360","198818","Q"
"NYTRF","2023-08-17","LHX","385","0","2411","N"
"NCTRF","2023-08-17","LHX","120","0","236","B"
"NQTRF","2023-08-17","LHX","105474","30","200521","Q"
"NYTRF","2023-08-16","LHX","585","0","2456","N"
"NCTRF","2023-08-16","LHX","2","0","1533","B"
"NQTRF","2023-08-16","LHX","133834","141","254948","Q"
"NYTRF","2023-08-15","LHX","833","0","3108","N"
"NCTRF","2023-08-15","LHX","333","0","487","B"
"NQTRF","2023-08-15","LHX","77717","62","178626","Q"
"NCTRF","2023-08-14","LHX","252","0","268","B"
"NQTRF","2023-08-14","LHX","124372","60","206087","Q"
"NYTRF","2023-08-14","LHX","2260","0","3275","N"
"NYTRF","2023-08-11","LHX","1883","9","3554","N"
"NCTRF","2023-08-11","LHX","10","0","209","B"
"NQTRF","2023-08-11","LHX","103463","170","205400","Q"
"NYTRF","2023-08-10","LHX","1101","0","1859","N"
"NCTRF","2023-08-10","LHX","10","0","264","B"
