"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-10-09","CF","378","0","707","B"
"NQTRF","2023-10-09","CF","339562","196","724115","Q"
"NYTRF","2023-10-09","CF","12024","0","12896","N"
"NCTRF","2023-10-06","CF","1220","0","1538","B"
"NYTRF","2023-10-06","CF","1652","0","6528","N"
"NQTRF","2023-10-06","CF","236989","250","412617","Q"
"NCTRF","2023-10-05","CF","91","0","113","B"
"NYTRF","2023-10-05","CF","1124","71","2826","N"
"NQTRF","2023-10-05","CF","264022","8","497552","Q"
"NQTRF","2023-10-04","CF","373864","296","552762","Q"
"NYTRF","2023-10-04","CF","4055","0","5240","N"
"NCTRF","2023-10-04","CF","400","0","1765","B"
"NQTRF","2023-10-03","CF","310096","109","687427","Q"
"NCTRF","2023-10-03","CF","1012","0","1310","B"
"NYTRF","2023-10-03","CF","1359","0","3674","N"
"NYTRF","2023-10-02","CF","3020","0","7650","N"
"NCTRF","2023-10-02","CF","845","0","1814","B"
"NQTRF","2023-10-02","CF","377619","667","680723","Q"
"NCTRF","2023-09-29","CF","81","0","556","B"
"NYTRF","2023-09-29","CF","3589","0","6554","N"
"NQTRF","2023-09-29","CF","420654","595","567083","Q"
"NCTRF","2023-09-28","CF","898","0","918","B"
"NYTRF","2023-09-28","CF","14849","4","21201","N"
"NQTRF","2023-09-28","CF","351170","121","670436","Q"
"NCTRF","2023-09-27","CF","2676","0","5012","B"
"NQTRF","2023-09-27","CF","271890","2450","496534","Q"
"NYTRF","2023-09-27","CF","3042","0","8959","N"
"NCTRF","2023-09-26","CF","1031","0","2134","B"
"NYTRF","2023-09-26","CF","32579","0","40089","N"
"NQTRF","2023-09-26","CF","540717","117","976721","Q"
"NCTRF","2023-09-25","CF","741","0","1879","B"
"NQTRF","2023-09-25","CF","420933","46","573373","Q"
"NYTRF","2023-09-25","CF","5708","0","11435","N"
"NYTRF","2023-09-22","CF","4808","0","6762","N"
"NQTRF","2023-09-22","CF","532692","269","754550","Q"
"NCTRF","2023-09-22","CF","730","0","1497","B"
"NYTRF","2023-09-21","CF","6401","0","8561","N"
"NCTRF","2023-09-21","CF","2077","0","3537","B"
"NQTRF","2023-09-21","CF","483270","179","720199","Q"
"NCTRF","2023-09-20","CF","1116","0","1535","B"
"NYTRF","2023-09-20","CF","19706","0","36510","N"
"NQTRF","2023-09-20","CF","805192","150","1303612","Q"
"NCTRF","2023-09-19","CF","267","0","4496","B"
"NYTRF","2023-09-19","CF","31616","0","43150","N"
"NQTRF","2023-09-19","CF","292452","2172","641320","Q"
"NYTRF","2023-09-18","CF","5998","4","9171","N"
"NCTRF","2023-09-18","CF","403","0","799","B"
"NQTRF","2023-09-18","CF","235707","133","350045","Q"
"NCTRF","2023-09-15","CF","416","0","626","B"
"NQTRF","2023-09-15","CF","346983","0","605630","Q"
"NYTRF","2023-09-15","CF","2270","0","4936","N"
"NCTRF","2023-09-14","CF","1039","0","1660","B"
"NYTRF","2023-09-14","CF","4806","0","8950","N"
"NQTRF","2023-09-14","CF","337098","128","692254","Q"
"NYTRF","2023-09-13","CF","1051","0","4277","N"
"NCTRF","2023-09-13","CF","1035","0","2314","B"
"NQTRF","2023-09-13","CF","219909","573","306014","Q"
"NCTRF","2023-09-12","CF","2477","0","3218","B"
"NQTRF","2023-09-12","CF","420637","0","633822","Q"
"NYTRF","2023-09-12","CF","11329","0","11904","N"
"NCTRF","2023-09-11","CF","2658","0","4452","B"
"NQTRF","2023-09-11","CF","654829","300","946486","Q"
"NYTRF","2023-09-11","CF","7007","0","11863","N"
"NYTRF","2023-09-08","CF","14560","35","16757","N"
"NCTRF","2023-09-08","CF","2036","0","2221","B"
"NQTRF","2023-09-08","CF","679699","871","964860","Q"
"NCTRF","2023-09-07","CF","83","0","408","B"
"NYTRF","2023-09-07","CF","5883","0","8696","N"
"NQTRF","2023-09-07","CF","477075","5","659238","Q"
"NCTRF","2023-09-06","CF","160","0","447","B"
"NYTRF","2023-09-06","CF","3393","0","5959","N"
"NQTRF","2023-09-06","CF","468880","220","705646","Q"
"NCTRF","2023-09-05","CF","1748","0","5834","B"
"NYTRF","2023-09-05","CF","19000","1883","24372","N"
"NQTRF","2023-09-05","CF","716748","4111","1047489","Q"
"NCTRF","2023-09-01","CF","1041","0","2146","B"
"NQTRF","2023-09-01","CF","286152","26","384110","Q"
"NYTRF","2023-09-01","CF","962","24","2258","N"
"NCTRF","2023-08-31","CF","438","0","781","B"
"NYTRF","2023-08-31","CF","3276","0","7722","N"
"NQTRF","2023-08-31","CF","337904","142","514674","Q"
"NCTRF","2023-08-30","CF","1560","0","1666","B"
"NQTRF","2023-08-30","CF","229242","14","352289","Q"
"NYTRF","2023-08-30","CF","2660","0","5211","N"
"NCTRF","2023-08-29","CF","56","0","269","B"
"NYTRF","2023-08-29","CF","2585","0","4725","N"
"NQTRF","2023-08-29","CF","185362","1073","284211","Q"
"NQTRF","2023-08-28","CF","239454","14","377982","Q"
"NYTRF","2023-08-28","CF","2295","0","9665","N"
"NCTRF","2023-08-28","CF","935","0","1533","B"
"NYTRF","2023-08-25","CF","1237","0","2728","N"
"NQTRF","2023-08-25","CF","294092","0","373370","Q"
"NCTRF","2023-08-25","CF","344","0","378","B"
"NYTRF","2023-08-24","CF","8032","1","13415","N"
"NCTRF","2023-08-24","CF","1100","0","2555","B"
"NQTRF","2023-08-24","CF","514612","378","631219","Q"
"NYTRF","2023-08-23","CF","6941","932","12127","N"
"NQTRF","2023-08-23","CF","539283","1128","693799","Q"
"NCTRF","2023-08-23","CF","1522","0","7133","B"
"NCTRF","2023-08-22","CF","119","0","3334","B"
"NYTRF","2023-08-22","CF","10197","0","12373","N"
"NQTRF","2023-08-22","CF","409456","1107","489793","Q"
"NQTRF","2023-08-21","CF","250655","437","347742","Q"
"NYTRF","2023-08-21","CF","6200","0","12057","N"
"NCTRF","2023-08-21","CF","2074","0","4598","B"
"NYTRF","2023-08-18","CF","4528","0","7475","N"
"NQTRF","2023-08-18","CF","754052","244","910140","Q"
"NCTRF","2023-08-18","CF","2384","0","3234","B"
"NQTRF","2023-08-17","CF","359492","0","559197","Q"
"NCTRF","2023-08-17","CF","2283","0","4417","B"
"NYTRF","2023-08-17","CF","6399","0","10505","N"
"NYTRF","2023-08-16","CF","1011","4","2327","N"
"NCTRF","2023-08-16","CF","3777","0","4330","B"
"NQTRF","2023-08-16","CF","321446","64","526351","Q"
"NQTRF","2023-08-15","CF","287772","0","694659","Q"
"NCTRF","2023-08-15","CF","2118","0","2240","B"
"NYTRF","2023-08-15","CF","10298","0","27383","N"
"NCTRF","2023-08-14","CF","796","0","2194","B"
"NYTRF","2023-08-14","CF","3007","0","8001","N"
"NQTRF","2023-08-14","CF","355685","668","563115","Q"
"NCTRF","2023-08-11","CF","412","0","4688","B"
"NQTRF","2023-08-11","CF","296290","1289","718527","Q"
"NYTRF","2023-08-11","CF","6007","30","7840","N"
"NYTRF","2023-08-10","CF","3314","0","22374","N"
"NQTRF","2023-08-10","CF","305520","17","720807","Q"
"NCTRF","2023-08-10","CF","600","0","1604","B"
"NYTRF","2023-08-09","CF","6811","0","14751","N"
"NCTRF","2023-08-09","CF","730","0","1803","B"
"NQTRF","2023-08-09","CF","426669","81","830390","Q"
"NQTRF","2023-08-08","CF","223398","284","766087","Q"
"NCTRF","2023-08-08","CF","850","0","2733","B"
"NYTRF","2023-08-08","CF","2718","199","6357","N"
"NCTRF","2023-08-07","CF","2075","0","3688","B"
"NQTRF","2023-08-07","CF","186536","171","609832","Q"
"NYTRF","2023-08-07","CF","4808","0","20809","N"
"NCTRF","2023-08-04","CF","334","0","2983","B"
"NYTRF","2023-08-04","CF","1108","37","8595","N"
"NQTRF","2023-08-04","CF","341183","55","616091","Q"
"NCTRF","2023-08-03","CF","2028","0","4617","B"
"NYTRF","2023-08-03","CF","5698","73","22729","N"
"NQTRF","2023-08-03","CF","448255","18","944688","Q"
"NCTRF","2023-08-02","CF","1186","0","2899","B"
"NQTRF","2023-08-02","CF","276823","7251","539618","Q"
"NYTRF","2023-08-02","CF","9613","115","23268","N"
"NYTRF","2023-08-01","CF","9099","74","26200","N"
"NCTRF","2023-08-01","CF","2480","0","3471","B"
"NQTRF","2023-08-01","CF","467329","535","760712","Q"
"NQTRF","2023-07-31","CF","178032","0","553179","Q"
"NCTRF","2023-07-31","CF","426","0","529","B"
"NYTRF","2023-07-31","CF","20218","123","75289","N"
"NCTRF","2023-07-28","CF","467","0","1963","B"
"NQTRF","2023-07-28","CF","422356","1105","648792","Q"
"NYTRF","2023-07-28","CF","10526","0","18322","N"
