"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2024-12-24","KULR","54726","0","110207","B"
"NQTRF","2024-12-24","KULR","9871247","485202","22117749","Q"
"NYTRF","2024-12-24","KULR","659701","168438","1495365","N"
"NCTRF","2024-12-23","KULR","36664","0","67963","B"
"NQTRF","2024-12-23","KULR","10844939","274095","20264669","Q"
"NYTRF","2024-12-23","KULR","820489","77682","1357242","N"
"NCTRF","2024-12-20","KULR","127336","0","196952","B"
"NQTRF","2024-12-20","KULR","19839762","957122","37672774","Q"
"NYTRF","2024-12-20","KULR","1325627","285881","2592216","N"
"NCTRF","2024-12-19","KULR","195404","0","305999","B"
"NQTRF","2024-12-19","KULR","28359703","820208","46146113","Q"
"NYTRF","2024-12-19","KULR","2267776","206122","3736750","N"
