"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2024-12-20","NVNI","83074","21258","169472","B"
"NQTRF","2024-12-20","NVNI","19574626","2608442","34424050","Q"
"NYTRF","2024-12-20","NVNI","1253040","68495","1968034","N"
"NCTRF","2024-12-19","NVNI","2102","464","4518","B"
"NQTRF","2024-12-19","NVNI","1825852","349798","3218992","Q"
"NYTRF","2024-12-19","NVNI","116404","101","209550","N"
"NCTRF","2024-12-18","NVNI","162272","6531","415218","B"
"NQTRF","2024-12-18","NVNI","3785340","397610","6357127","Q"
"NYTRF","2024-12-18","NVNI","299906","2050","484618","N"
"NQTRF","2024-12-17","NVNI","2764","100","5977","Q"
"NQTRF","2024-12-16","NVNI","14239","4252","29454","Q"
"NYTRF","2024-12-16","NVNI","477","0","1117","N"
"NQTRF","2024-12-13","NVNI","17544","3321","23271","Q"
"NYTRF","2024-12-13","NVNI","301","1","1803","N"
"NQTRF","2024-12-12","NVNI","225","16","1703","Q"
"NQTRF","2024-12-11","NVNI","963","0","2068","Q"
"NYTRF","2024-12-11","NVNI","1","1","7","N"
"NQTRF","2024-12-10","NVNI","2","0","2058","Q"
"NQTRF","2024-12-09","NVNI","3225","0","3933","Q"
"NYTRF","2024-12-09","NVNI","688","0","756","N"
"NQTRF","2024-12-06","NVNI","515","0","685","Q"
"NQTRF","2024-12-05","NVNI","49","0","241","Q"
"NQTRF","2024-12-03","NVNI","177","0","373","Q"
"NQTRF","2024-12-02","NVNI","1750","0","3228","Q"
"NQTRF","2024-11-29","NVNI","20","0","55","Q"
"NQTRF","2024-11-27","NVNI","240","220","282","Q"
"NQTRF","2024-11-25","NVNI","1574","200","19561","Q"
"NQTRF","2024-11-22","NVNI","1302","0","1825","Q"
"NQTRF","2024-11-21","NVNI","1727","0","5754","Q"
"NYTRF","2024-11-21","NVNI","220","0","224","N"
"NQTRF","2024-11-20","NVNI","1961","0","4466","Q"
"NQTRF","2024-11-18","NVNI","140","0","1254","Q"
"NQTRF","2024-11-15","NVNI","1311","0","2293","Q"
"NYTRF","2024-11-14","NVNI","100","0","113","N"
"NQTRF","2024-11-13","NVNI","650","0","4893","Q"
"NQTRF","2024-11-12","NVNI","1470","35","6975","Q"
"NYTRF","2024-11-12","NVNI","15","15","617","N"
"NQTRF","2024-11-11","NVNI","2642","412","8619","Q"
"NQTRF","2024-11-08","NVNI","90","0","630","Q"
"NQTRF","2024-11-07","NVNI","1329","0","4545","Q"
"NQTRF","2024-11-06","NVNI","2528","0","6122","Q"
"NQTRF","2024-11-05","NVNI","415","200","3992","Q"
"NQTRF","2024-11-04","NVNI","1224","0","13193","Q"
"NQTRF","2024-11-01","NVNI","21","0","1199","Q"
"NQTRF","2024-10-31","NVNI","1179","0","1276","Q"
"NQTRF","2024-10-30","NVNI","9432","0","15295","Q"
"NYTRF","2024-10-30","NVNI","20","0","1558","N"
"NQTRF","2024-10-29","NVNI","6897","6260","7664","Q"
"NQTRF","2024-10-28","NVNI","4361","247","6848","Q"
"NQTRF","2024-10-25","NVNI","295","0","595","Q"
"NQTRF","2024-10-24","NVNI","219","0","280","Q"
"NQTRF","2024-10-23","NVNI","501","0","1055","Q"
"NQTRF","2024-10-22","NVNI","1258","0","2033","Q"
"NQTRF","2024-10-21","NVNI","5503","0","11326","Q"
"NQTRF","2024-10-18","NVNI","5586","0","6179","Q"
"NQTRF","2024-10-17","NVNI","3943","0","6553","Q"
"NQTRF","2024-10-16","NVNI","2660","0","6289","Q"
"NQTRF","2024-10-15","NVNI","2350","0","8738","Q"
"NQTRF","2024-10-14","NVNI","1116","0","1645","Q"
"NYTRF","2024-10-14","NVNI","32","0","40","N"
"NQTRF","2024-10-11","NVNI","465","0","4641","Q"
"NYTRF","2024-10-11","NVNI","214","0","214","N"
"NQTRF","2024-10-10","NVNI","1296","75","5211","Q"
"NQTRF","2024-10-09","NVNI","1462","143","10228","Q"
"NQTRF","2024-10-08","NVNI","20","0","21","Q"
"NQTRF","2024-10-07","NVNI","1","0","238","Q"
"NQTRF","2024-10-04","NVNI","122","0","1029","Q"
"NQTRF","2024-10-03","NVNI","515","0","2668","Q"
"NQTRF","2024-10-02","NVNI","622","0","9582","Q"
"NQTRF","2024-10-01","NVNI","29","9","55","Q"
"NQTRF","2024-09-30","NVNI","247","1","1049","Q"
"NQTRF","2024-09-27","NVNI","4073","1015","12539","Q"
"NQTRF","2024-09-26","NVNI","1","0","34","Q"
"NQTRF","2024-09-25","NVNI","408","85","2339","Q"
"NQTRF","2024-09-24","NVNI","382","0","2453","Q"
"NYTRF","2024-09-24","NVNI","185","0","1391","N"
