"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-10-09","RGTI","1101","0","8011","B"
"NYTRF","2023-10-09","RGTI","46774","763","86627","N"
"NQTRF","2023-10-09","RGTI","423856","11441","794113","Q"
"NCTRF","2023-10-06","RGTI","4452","0","5012","B"
"NYTRF","2023-10-06","RGTI","85688","7973","177786","N"
"NQTRF","2023-10-06","RGTI","1019091","33119","1538707","Q"
"NCTRF","2023-10-05","RGTI","1741","0","3056","B"
"NQTRF","2023-10-05","RGTI","360216","6791","601485","Q"
"NYTRF","2023-10-05","RGTI","49352","3701","65736","N"
"NQTRF","2023-10-04","RGTI","653340","6126","1142276","Q"
"NCTRF","2023-10-04","RGTI","8737","0","15858","B"
"NYTRF","2023-10-04","RGTI","68020","12012","131229","N"
"NCTRF","2023-10-03","RGTI","407","0","3207","B"
"NQTRF","2023-10-03","RGTI","632393","14776","1842792","Q"
"NYTRF","2023-10-03","RGTI","48372","12146","124981","N"
"NCTRF","2023-10-02","RGTI","114","0","398","B"
"NQTRF","2023-10-02","RGTI","733145","10400","1230582","Q"
"NYTRF","2023-10-02","RGTI","67695","9500","100024","N"
"NCTRF","2023-09-29","RGTI","1131","0","5390","B"
"NYTRF","2023-09-29","RGTI","24860","2417","56303","N"
"NQTRF","2023-09-29","RGTI","537536","54577","1229886","Q"
"NYTRF","2023-09-28","RGTI","231686","21531","314102","N"
"NCTRF","2023-09-28","RGTI","311","0","1536","B"
"NQTRF","2023-09-28","RGTI","880872","41403","2000801","Q"
"NCTRF","2023-09-27","RGTI","1157","0","1357","B"
"NYTRF","2023-09-27","RGTI","72003","5194","142936","N"
"NQTRF","2023-09-27","RGTI","861085","39986","1621632","Q"
"NYTRF","2023-09-26","RGTI","32922","2710","80884","N"
"NCTRF","2023-09-26","RGTI","3015","0","16493","B"
"NQTRF","2023-09-26","RGTI","667255","19617","1323752","Q"
"NCTRF","2023-09-25","RGTI","1699","0","20906","B"
"NYTRF","2023-09-25","RGTI","55123","7270","133617","N"
"NQTRF","2023-09-25","RGTI","826652","77141","1768566","Q"
"NCTRF","2023-09-22","RGTI","4421","0","10361","B"
"NQTRF","2023-09-22","RGTI","556512","38058","1172672","Q"
"NYTRF","2023-09-22","RGTI","98031","28808","166754","N"
"NQTRF","2023-09-21","RGTI","534505","45053","1383085","Q"
"NCTRF","2023-09-21","RGTI","428","0","41329","B"
"NYTRF","2023-09-21","RGTI","63250","5337","130268","N"
"NQTRF","2023-09-20","RGTI","291669","11239","969968","Q"
"NCTRF","2023-09-20","RGTI","900","0","3050","B"
"NYTRF","2023-09-20","RGTI","55521","1246","104671","N"
"NYTRF","2023-09-19","RGTI","58266","2205","89476","N"
"NQTRF","2023-09-19","RGTI","771501","6399","1591585","Q"
"NCTRF","2023-09-19","RGTI","3251","0","3901","B"
"NCTRF","2023-09-18","RGTI","4302","0","50731","B"
"NYTRF","2023-09-18","RGTI","140379","70994","214503","N"
"NQTRF","2023-09-18","RGTI","853359","27097","2212468","Q"
"NCTRF","2023-09-15","RGTI","3352","0","16181","B"
"NYTRF","2023-09-15","RGTI","91915","2007","155047","N"
"NQTRF","2023-09-15","RGTI","695240","2011","1609085","Q"
"NQTRF","2023-09-14","RGTI","854751","9741","1729105","Q"
"NCTRF","2023-09-14","RGTI","2370","0","7186","B"
"NYTRF","2023-09-14","RGTI","72095","1605","139775","N"
"NQTRF","2023-09-13","RGTI","851398","4177","1814414","Q"
