"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-10-09","RTX","3406","0","19139","B"
"NQTRF","2023-10-09","RTX","2057996","7363","5706869","Q"
"NYTRF","2023-10-09","RTX","153515","1809","229316","N"
"NCTRF","2023-10-06","RTX","1071","0","1297","B"
"NYTRF","2023-10-06","RTX","18578","74","91415","N"
"NQTRF","2023-10-06","RTX","718823","14457","3106493","Q"
"NCTRF","2023-10-05","RTX","1160","0","24337","B"
"NYTRF","2023-10-05","RTX","19977","476","51445","N"
"NQTRF","2023-10-05","RTX","576052","11736","2354676","Q"
"NQTRF","2023-10-04","RTX","711075","7802","4370298","Q"
"NYTRF","2023-10-04","RTX","8091","371","25501","N"
"NCTRF","2023-10-04","RTX","533","0","785","B"
"NQTRF","2023-10-03","RTX","923520","3713","3153765","Q"
"NCTRF","2023-10-03","RTX","2614","0","3518","B"
"NYTRF","2023-10-03","RTX","8505","198","27676","N"
"NYTRF","2023-10-02","RTX","40924","875","62179","N"
"NCTRF","2023-10-02","RTX","2649","0","3043","B"
"NQTRF","2023-10-02","RTX","627970","9942","2370698","Q"
"NCTRF","2023-09-29","RTX","1014","0","2837","B"
"NYTRF","2023-09-29","RTX","9068","259","29778","N"
"NQTRF","2023-09-29","RTX","512335","16283","1955172","Q"
"NCTRF","2023-09-28","RTX","529","0","1148","B"
"NYTRF","2023-09-28","RTX","4047","435","25126","N"
"NQTRF","2023-09-28","RTX","819731","13925","3923919","Q"
"NCTRF","2023-09-27","RTX","258","0","1445","B"
"NQTRF","2023-09-27","RTX","1155569","22180","3825029","Q"
"NYTRF","2023-09-27","RTX","10788","80","31979","N"
"NCTRF","2023-09-26","RTX","2301","0","3439","B"
"NYTRF","2023-09-26","RTX","24083","201","40520","N"
"NQTRF","2023-09-26","RTX","1316097","21763","4623694","Q"
"NCTRF","2023-09-25","RTX","338","0","1885","B"
"NQTRF","2023-09-25","RTX","860937","15322","5170507","Q"
"NYTRF","2023-09-25","RTX","16881","45","69651","N"
"NYTRF","2023-09-22","RTX","9911","222","46641","N"
"NQTRF","2023-09-22","RTX","719876","12305","3963774","Q"
"NCTRF","2023-09-22","RTX","995","0","3849","B"
"NYTRF","2023-09-21","RTX","17940","446","121253","N"
"NCTRF","2023-09-21","RTX","1428","0","2969","B"
"NQTRF","2023-09-21","RTX","952159","13728","5090376","Q"
"NCTRF","2023-09-20","RTX","265","0","506","B"
"NYTRF","2023-09-20","RTX","8028","254","53891","N"
"NQTRF","2023-09-20","RTX","728447","17564","3972221","Q"
"NCTRF","2023-09-19","RTX","646","0","2730","B"
"NYTRF","2023-09-19","RTX","6600","59","28717","N"
"NQTRF","2023-09-19","RTX","768301","8242","3915412","Q"
"NYTRF","2023-09-18","RTX","7683","109","32872","N"
"NCTRF","2023-09-18","RTX","628","0","872","B"
"NQTRF","2023-09-18","RTX","655212","23303","3142942","Q"
"NCTRF","2023-09-15","RTX","2004","0","6394","B"
"NQTRF","2023-09-15","RTX","1147995","70043","3450900","Q"
"NYTRF","2023-09-15","RTX","17097","596","55505","N"
"NCTRF","2023-09-14","RTX","7494","0","12443","B"
"NYTRF","2023-09-14","RTX","39082","554","88788","N"
"NQTRF","2023-09-14","RTX","1516193","50935","6475661","Q"
"NYTRF","2023-09-13","RTX","13101","199","108403","N"
"NCTRF","2023-09-13","RTX","1801","0","4600","B"
"NQTRF","2023-09-13","RTX","1269229","27387","4944214","Q"
"NCTRF","2023-09-12","RTX","6955","0","14702","B"
"NQTRF","2023-09-12","RTX","1625596","33293","7687146","Q"
"NYTRF","2023-09-12","RTX","35704","506","115198","N"
"NCTRF","2023-09-11","RTX","7617","0","15395","B"
"NQTRF","2023-09-11","RTX","4803964","64265","10211368","Q"
"NYTRF","2023-09-11","RTX","103818","1514","247441","N"
"NYTRF","2023-09-08","RTX","79320","299","112267","N"
"NCTRF","2023-09-08","RTX","173","0","972","B"
"NQTRF","2023-09-08","RTX","788354","13190","2372769","Q"
"NCTRF","2023-09-07","RTX","111","0","502","B"
"NYTRF","2023-09-07","RTX","9453","296","31491","N"
"NQTRF","2023-09-07","RTX","649107","8242","2135941","Q"
"NCTRF","2023-09-06","RTX","220","0","981","B"
"NYTRF","2023-09-06","RTX","17956","66","49071","N"
"NQTRF","2023-09-06","RTX","742597","7386","2662715","Q"
"NCTRF","2023-09-05","RTX","1258","0","1711","B"
"NYTRF","2023-09-05","RTX","11868","8","15435","N"
"NQTRF","2023-09-05","RTX","834250","5216","1921565","Q"
"NCTRF","2023-09-01","RTX","250","0","3330","B"
"NQTRF","2023-09-01","RTX","371401","4766","898413","Q"
"NYTRF","2023-09-01","RTX","3982","0","13273","N"
"NCTRF","2023-08-31","RTX","190","0","677","B"
"NYTRF","2023-08-31","RTX","6838","98","31704","N"
"NQTRF","2023-08-31","RTX","444858","5089","1345351","Q"
"NCTRF","2023-08-30","RTX","2500","0","2901","B"
"NQTRF","2023-08-30","RTX","530515","6072","1413874","Q"
"NYTRF","2023-08-30","RTX","7833","579","34302","N"
"NCTRF","2023-08-29","RTX","534","0","1498","B"
"NYTRF","2023-08-29","RTX","8947","234","48050","N"
"NQTRF","2023-08-29","RTX","342972","6398","1945747","Q"
"NQTRF","2023-08-28","RTX","512325","5767","1836037","Q"
"NYTRF","2023-08-28","RTX","3887","264","29648","N"
"NCTRF","2023-08-28","RTX","39","0","285","B"
"NYTRF","2023-08-25","RTX","30060","4269","57046","N"
"NQTRF","2023-08-25","RTX","392308","4925","1553877","Q"
"NCTRF","2023-08-25","RTX","503","0","1008","B"
"NYTRF","2023-08-24","RTX","31432","65","53829","N"
"NCTRF","2023-08-24","RTX","203","0","1197","B"
"NQTRF","2023-08-24","RTX","410165","2488","1236308","Q"
"NYTRF","2023-08-23","RTX","12842","260","28194","N"
"NQTRF","2023-08-23","RTX","680820","5217","1612297","Q"
"NCTRF","2023-08-23","RTX","156","0","447","B"
"NCTRF","2023-08-22","RTX","1839","0","2736","B"
"NYTRF","2023-08-22","RTX","9113","0","37966","N"
"NQTRF","2023-08-22","RTX","527260","1516","1477727","Q"
"NQTRF","2023-08-21","RTX","540600","8651","1971014","Q"
"NYTRF","2023-08-21","RTX","10280","218","32912","N"
"NCTRF","2023-08-21","RTX","2058","0","2677","B"
"NYTRF","2023-08-18","RTX","14779","48","51607","N"
"NQTRF","2023-08-18","RTX","1073723","1669","1981707","Q"
"NCTRF","2023-08-18","RTX","667","0","6077","B"
"NQTRF","2023-08-17","RTX","1029740","4861","1875113","Q"
"NCTRF","2023-08-17","RTX","3206","0","4135","B"
"NYTRF","2023-08-17","RTX","30335","0","41575","N"
"NYTRF","2023-08-16","RTX","15640","176","36952","N"
"NCTRF","2023-08-16","RTX","1273","0","5135","B"
"NQTRF","2023-08-16","RTX","699637","4135","1968755","Q"
"NQTRF","2023-08-15","RTX","710927","33931","1429816","Q"
"NCTRF","2023-08-15","RTX","139","0","698","B"
"NYTRF","2023-08-15","RTX","22516","23","34295","N"
"NCTRF","2023-08-14","RTX","1214","0","2819","B"
"NYTRF","2023-08-14","RTX","11333","1500","24886","N"
"NQTRF","2023-08-14","RTX","541343","5558","1151398","Q"
"NCTRF","2023-08-11","RTX","2565","0","4564","B"
"NQTRF","2023-08-11","RTX","694595","1449","1504328","Q"
"NYTRF","2023-08-11","RTX","33871","520","64514","N"
"NYTRF","2023-08-10","RTX","40773","2743","69327","N"
"NQTRF","2023-08-10","RTX","1033057","9203","1908660","Q"
"NCTRF","2023-08-10","RTX","1030","0","3298","B"
"NYTRF","2023-08-09","RTX","20297","808","51947","N"
"NCTRF","2023-08-09","RTX","1959","0","5220","B"
"NQTRF","2023-08-09","RTX","1502405","7689","3218542","Q"
"NQTRF","2023-08-08","RTX","1043015","28385","2429672","Q"
"NCTRF","2023-08-08","RTX","873","0","3083","B"
"NYTRF","2023-08-08","RTX","24062","779","67302","N"
"NCTRF","2023-08-07","RTX","2107","0","6362","B"
"NQTRF","2023-08-07","RTX","781133","1726","3132688","Q"
"NYTRF","2023-08-07","RTX","66225","212","121880","N"
"NCTRF","2023-08-04","RTX","911","0","4205","B"
"NYTRF","2023-08-04","RTX","42379","260","89374","N"
"NQTRF","2023-08-04","RTX","625604","7311","1849930","Q"
"NCTRF","2023-08-03","RTX","2605","0","12128","B"
"NYTRF","2023-08-03","RTX","99133","1062","200236","N"
"NQTRF","2023-08-03","RTX","1015291","7923","3294864","Q"
"NCTRF","2023-08-02","RTX","4476","0","7210","B"
"NQTRF","2023-08-02","RTX","1063892","3807","2789992","Q"
"NYTRF","2023-08-02","RTX","91882","784","199428","N"
"NYTRF","2023-08-01","RTX","49135","565","114596","N"
"NCTRF","2023-08-01","RTX","513","0","11896","B"
"NQTRF","2023-08-01","RTX","828950","10388","2348010","Q"
"NQTRF","2023-07-31","RTX","1411878","19675","2837912","Q"
"NCTRF","2023-07-31","RTX","8284","0","10878","B"
"NYTRF","2023-07-31","RTX","92883","1030","206742","N"
"NCTRF","2023-07-28","RTX","2098","0","7482","B"
"NQTRF","2023-07-28","RTX","1827426","12023","4052524","Q"
"NYTRF","2023-07-28","RTX","176467","4349","358262","N"
"NYTRF","2023-07-27","RTX","356669","3115","662639","N"
"NCTRF","2023-07-27","RTX","11831","0","19084","B"
"NQTRF","2023-07-27","RTX","2399348","56776","5346799","Q"
"NYTRF","2023-07-26","RTX","523097","15881","958601","N"
"NCTRF","2023-07-26","RTX","10218","0","21531","B"
"NQTRF","2023-07-26","RTX","3567768","255104","7945653","Q"
"NCTRF","2023-07-25","RTX","132185","0","247558","B"
"NQTRF","2023-07-25","RTX","11217339","569084","20211359","Q"
"NYTRF","2023-07-25","RTX","2034372","29734","3150297","N"
"NQTRF","2023-07-24","RTX","516420","753","1728758","Q"
"NCTRF","2023-07-24","RTX","3184","0","4740","B"
"NYTRF","2023-07-24","RTX","80331","53","113471","N"
"NCTRF","2023-07-21","RTX","112","0","587","B"
"NQTRF","2023-07-21","RTX","397787","1027","942934","Q"
"NYTRF","2023-07-21","RTX","18544","116","34620","N"
"NCTRF","2023-07-20","RTX","206","0","226","B"
"NYTRF","2023-07-20","RTX","15417","863","42384","N"
"NQTRF","2023-07-20","RTX","815257","7675","1605358","Q"
"NCTRF","2023-07-19","RTX","688","0","1197","B"
"NQTRF","2023-07-19","RTX","687362","17221","1270249","Q"
"NYTRF","2023-07-19","RTX","67032","1077","116656","N"
"NCTRF","2023-07-18","RTX","2001","0","2491","B"
"NQTRF","2023-07-18","RTX","822592","523","1763948","Q"
"NYTRF","2023-07-18","RTX","33820","2805","95435","N"
"NYTRF","2023-07-17","RTX","30213","73","55638","N"
"NCTRF","2023-07-17","RTX","305","0","3256","B"
"NQTRF","2023-07-17","RTX","455304","1014","1169625","Q"
"NCTRF","2023-07-14","RTX","210","0","576","B"
"NYTRF","2023-07-14","RTX","56155","194","84895","N"
"NQTRF","2023-07-14","RTX","455243","17884","1064941","Q"
"NYTRF","2023-07-13","RTX","33479","1988","73395","N"
"NCTRF","2023-07-13","RTX","221","0","327","B"
"NQTRF","2023-07-13","RTX","429896","7136","869279","Q"
"NCTRF","2023-07-12","RTX","2524","0","3257","B"
"NYTRF","2023-07-12","RTX","40841","743","80443","N"
"NQTRF","2023-07-12","RTX","347918","1577","1320762","Q"
"NQTRF","2023-07-11","RTX","403641","3331","2201287","Q"
"NCTRF","2023-07-11","RTX","61","0","474","B"
"NYTRF","2023-07-11","RTX","26325","1993","115620","N"
"NCTRF","2023-07-10","RTX","300","0","301","B"
"NYTRF","2023-07-10","RTX","21157","134","53740","N"
"NQTRF","2023-07-10","RTX","378244","2360","951406","Q"
"NCTRF","2023-07-07","RTX","8","0","510","B"
"NYTRF","2023-07-07","RTX","13147","716","41967","N"
"NQTRF","2023-07-07","RTX","484142","517","1649861","Q"
"NCTRF","2023-07-06","RTX","12","0","222","B"
"NYTRF","2023-07-06","RTX","23852","2053","42912","N"
"NQTRF","2023-07-06","RTX","432338","1128","1098626","Q"
"NQTRF","2023-07-05","RTX","437850","8466","1014669","Q"
"NYTRF","2023-07-05","RTX","11401","353","30976","N"
"NCTRF","2023-07-05","RTX","3","0","413","B"
"NYTRF","2023-07-03","RTX","19924","48","41078","N"
"NQTRF","2023-07-03","RTX","231691","4667","662092","Q"
"NCTRF","2023-07-03","RTX","201","0","391","B"
"NCTRF","2023-06-30","RTX","253","0","631","B"
"NYTRF","2023-06-30","RTX","9611","1162","55693","N"
"NQTRF","2023-06-30","RTX","297605","10376","960369","Q"
"NQTRF","2023-06-29","RTX","475326","2178","1260908","Q"
"NCTRF","2023-06-29","RTX","442","0","579","B"
"NYTRF","2023-06-29","RTX","17898","142","109721","N"
"NYTRF","2023-06-28","RTX","28071","24","73225","N"
"NCTRF","2023-06-28","RTX","412","0","3597","B"
"NQTRF","2023-06-28","RTX","490595","2693","1087912","Q"
"NYTRF","2023-06-27","RTX","12897","52","60236","N"
"NCTRF","2023-06-27","RTX","2001","0","2246","B"
"NQTRF","2023-06-27","RTX","387747","909","1297915","Q"
"NCTRF","2023-06-26","RTX","160","0","418","B"
"NQTRF","2023-06-26","RTX","391997","1174","1173244","Q"
"NYTRF","2023-06-26","RTX","4902","0","52213","N"
"NYTRF","2023-06-23","RTX","17091","37","89362","N"
"NCTRF","2023-06-23","RTX","101","0","122","B"
"NQTRF","2023-06-23","RTX","604754","308","1262128","Q"
"NQTRF","2023-06-22","RTX","413105","373","1265618","Q"
"NYTRF","2023-06-22","RTX","11020","67","66823","N"
"NCTRF","2023-06-22","RTX","569","0","754","B"
"NCTRF","2023-06-21","RTX","249","0","652","B"
"NYTRF","2023-06-21","RTX","18222","616","88529","N"
"NQTRF","2023-06-21","RTX","525654","4530","1490734","Q"
"NYTRF","2023-06-20","RTX","22300","129","49762","N"
"NQTRF","2023-06-20","RTX","657462","2333","2576208","Q"
"NCTRF","2023-06-20","RTX","616","0","2047","B"
"NQTRF","2023-06-16","RTX","381564","613","2097089","Q"
"NCTRF","2023-06-16","RTX","1516","0","2195","B"
"NYTRF","2023-06-16","RTX","10620","76","47555","N"
"NCTRF","2023-06-15","RTX","472","0","1509","B"
"NQTRF","2023-06-15","RTX","293259","2862","1158919","Q"
"NYTRF","2023-06-15","RTX","5031","0","46562","N"
"NYTRF","2023-06-14","RTX","7779","59","125749","N"
"NCTRF","2023-06-14","RTX","844","0","1316","B"
"NQTRF","2023-06-14","RTX","388891","317","1767588","Q"
"NYTRF","2023-06-13","RTX","4223","304","44645","N"
"NQTRF","2023-06-13","RTX","297157","7296","1454711","Q"
"NCTRF","2023-06-13","RTX","425","0","904","B"
"NYTRF","2023-06-12","RTX","5691","0","33399","N"
"NCTRF","2023-06-12","RTX","781","0","2005","B"
"NQTRF","2023-06-12","RTX","289632","2448","1055457","Q"
"NYTRF","2023-06-09","RTX","3175","67","42720","N"
"NQTRF","2023-06-09","RTX","272337","4438","728896","Q"
"NCTRF","2023-06-09","RTX","1293","0","1421","B"
"NCTRF","2023-06-08","RTX","105","0","375","B"
"NQTRF","2023-06-08","RTX","381491","5597","1129357","Q"
"NYTRF","2023-06-08","RTX","12134","150","73772","N"
"NCTRF","2023-06-07","RTX","748","0","1219","B"
"NQTRF","2023-06-07","RTX","380612","5283","1026694","Q"
"NYTRF","2023-06-07","RTX","7269","69","92590","N"
"NQTRF","2023-06-06","RTX","363549","4226","1404676","Q"
"NCTRF","2023-06-06","RTX","227","0","463","B"
"NYTRF","2023-06-06","RTX","11471","242","69622","N"
"NCTRF","2023-06-05","RTX","337","0","538","B"
"NYTRF","2023-06-05","RTX","9080","32","68008","N"
"NQTRF","2023-06-05","RTX","286543","4678","1024514","Q"
"NQTRF","2023-06-02","RTX","520505","5202","1576940","Q"
"NCTRF","2023-06-02","RTX","692","0","939","B"
"NYTRF","2023-06-02","RTX","14950","0","103869","N"
"NQTRF","2023-06-01","RTX","537489","2819","1477321","Q"
"NCTRF","2023-06-01","RTX","233","0","570","B"
"NYTRF","2023-06-01","RTX","5550","274","46937","N"
"NCTRF","2023-05-31","RTX","341","0","881","B"
"NYTRF","2023-05-31","RTX","17637","102","50573","N"
"NQTRF","2023-05-31","RTX","360638","1937","1453221","Q"
"NQTRF","2023-05-30","RTX","322037","4051","1394514","Q"
"NCTRF","2023-05-30","RTX","1290","0","2726","B"
"NYTRF","2023-05-30","RTX","7652","360","73695","N"
"NCTRF","2023-05-26","RTX","828","0","848","B"
"NQTRF","2023-05-26","RTX","334938","10396","1066491","Q"
"NYTRF","2023-05-26","RTX","13913","922","78775","N"
"NCTRF","2023-05-25","RTX","486","0","2323","B"
"NYTRF","2023-05-25","RTX","35373","117","101435","N"
"NQTRF","2023-05-25","RTX","407180","14708","1306868","Q"
"NYTRF","2023-05-24","RTX","4745","20","45890","N"
"NQTRF","2023-05-24","RTX","365266","5124","970135","Q"
"NCTRF","2023-05-24","RTX","794","0","1985","B"
"NCTRF","2023-05-23","RTX","464","0","1173","B"
"NYTRF","2023-05-23","RTX","15044","1140","51017","N"
"NQTRF","2023-05-23","RTX","474769","8866","1308027","Q"
"NYTRF","2023-05-22","RTX","14772","37","63699","N"
"NQTRF","2023-05-22","RTX","504871","9418","1511248","Q"
"NCTRF","2023-05-22","RTX","144","0","2271","B"
"NQTRF","2023-05-19","RTX","418566","8475","1070876","Q"
"NCTRF","2023-05-19","RTX","546","0","876","B"
"NYTRF","2023-05-19","RTX","20267","103","64202","N"
"NCTRF","2023-05-18","RTX","1406","0","1984","B"
"NYTRF","2023-05-18","RTX","41259","1615","95875","N"
"NQTRF","2023-05-18","RTX","397148","656","1165385","Q"
"NYTRF","2023-05-17","RTX","26612","293","65924","N"
"NQTRF","2023-05-17","RTX","571874","37225","1328427","Q"
"NCTRF","2023-05-17","RTX","415","0","472","B"
"NQTRF","2023-05-16","RTX","379449","1374","742846","Q"
"NCTRF","2023-05-16","RTX","2057","0","2113","B"
"NYTRF","2023-05-16","RTX","63270","45","136093","N"
"NYTRF","2023-05-15","RTX","38073","0","82122","N"
"NCTRF","2023-05-15","RTX","1775","0","2014","B"
"NQTRF","2023-05-15","RTX","373077","4898","865042","Q"
"NQTRF","2023-05-12","RTX","404074","22","730008","Q"
"NYTRF","2023-05-12","RTX","68442","54","98514","N"
"NCTRF","2023-05-12","RTX","546","0","547","B"
"NCTRF","2023-05-11","RTX","432","0","942","B"
"NQTRF","2023-05-11","RTX","416507","1935","1079441","Q"
"NYTRF","2023-05-11","RTX","36750","0","74833","N"
"NQTRF","2023-05-10","RTX","287173","2759","1046381","Q"
"NCTRF","2023-05-10","RTX","1194","0","3355","B"
"NYTRF","2023-05-10","RTX","38327","140","83494","N"
"NQTRF","2023-05-09","RTX","334316","11707","806594","Q"
"NYTRF","2023-05-09","RTX","38366","784","101478","N"
"NCTRF","2023-05-09","RTX","611","0","6723","B"
"NYTRF","2023-05-08","RTX","42748","90","84941","N"
"NCTRF","2023-05-08","RTX","4186","0","4575","B"
"NQTRF","2023-05-08","RTX","493695","1235","1119953","Q"
"NQTRF","2023-05-05","RTX","381534","765","976637","Q"
"NCTRF","2023-05-05","RTX","223","0","1976","B"
"NYTRF","2023-05-05","RTX","26408","54","102415","N"
"NCTRF","2023-05-04","RTX","732","0","1240","B"
"NQTRF","2023-05-04","RTX","657062","4504","1275051","Q"
"NYTRF","2023-05-04","RTX","40152","111","122017","N"
"NQTRF","2023-05-03","RTX","467327","3638","924746","Q"
"NCTRF","2023-05-03","RTX","3651","0","4589","B"
"NYTRF","2023-05-03","RTX","90659","27","188455","N"
"NCTRF","2023-05-02","RTX","200","0","812","B"
"NYTRF","2023-05-02","RTX","32967","63","77048","N"
"NQTRF","2023-05-02","RTX","382088","3120","816194","Q"
"NQTRF","2023-05-01","RTX","298568","1792","899998","Q"
"NYTRF","2023-05-01","RTX","30938","278","89312","N"
"NCTRF","2023-05-01","RTX","1058","0","2169","B"
"NYTRF","2023-04-28","RTX","25366","96","79435","N"
"NQTRF","2023-04-28","RTX","300754","3289","658561","Q"
"NCTRF","2023-04-28","RTX","1633","0","1759","B"
"NQTRF","2023-04-27","RTX","431257","5249","968117","Q"
"NYTRF","2023-04-27","RTX","58687","29","126813","N"
"NCTRF","2023-04-27","RTX","2136","0","2489","B"
"NCTRF","2023-04-26","RTX","1425","0","2100","B"
"NQTRF","2023-04-26","RTX","778281","1171","1514607","Q"
"NYTRF","2023-04-26","RTX","104054","171","174953","N"
"NCTRF","2023-04-25","RTX","496","0","3065","B"
"NQTRF","2023-04-25","RTX","799974","5366","1544606","Q"
"NYTRF","2023-04-25","RTX","50526","96","121551","N"
"NCTRF","2023-04-24","RTX","1240","0","1641","B"
"NYTRF","2023-04-24","RTX","27346","291","91740","N"
"NQTRF","2023-04-24","RTX","258369","3529","1053206","Q"
"NQTRF","2023-04-21","RTX","255683","1588","758496","Q"
"NYTRF","2023-04-21","RTX","31736","0","151523","N"
"NCTRF","2023-04-21","RTX","236","0","451","B"
"NCTRF","2023-04-20","RTX","348","0","1297","B"
"NQTRF","2023-04-20","RTX","435966","4036","987407","Q"
"NYTRF","2023-04-20","RTX","48001","200","154080","N"
"NQTRF","2023-04-19","RTX","413152","2800","991576","Q"
"NYTRF","2023-04-19","RTX","33659","74","69701","N"
"NCTRF","2023-04-19","RTX","294","0","746","B"
"NYTRF","2023-04-18","RTX","38327","84","296970","N"
"NQTRF","2023-04-18","RTX","480941","4039","1251607","Q"
"NCTRF","2023-04-18","RTX","2226","0","3095","B"
"NQTRF","2023-04-17","RTX","534663","753","1140212","Q"
"NYTRF","2023-04-17","RTX","78631","59","163795","N"
"NCTRF","2023-04-17","RTX","2294","0","2408","B"
