"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-11-24","SLV","38422","0","45822","B"
"NQTRF","2023-11-24","SLV","1597951","414","2591345","Q"
"NYTRF","2023-11-24","SLV","674825","503","722730","N"
"NYTRF","2023-11-22","SLV","28917","235","70476","N"
"NCTRF","2023-11-22","SLV","1326","0","5214","B"
"NQTRF","2023-11-22","SLV","1578722","2706","2280049","Q"
"NYTRF","2023-11-21","SLV","102210","869","458746","N"
"NCTRF","2023-11-21","SLV","12219","0","24724","B"
"NQTRF","2023-11-21","SLV","2514290","1297","4033222","Q"
"NCTRF","2023-11-20","SLV","12892","0","17585","B"
"NYTRF","2023-11-20","SLV","98773","488","159464","N"
"NQTRF","2023-11-20","SLV","1614943","3634","2960852","Q"
"NCTRF","2023-11-17","SLV","3454","0","6851","B"
"NYTRF","2023-11-17","SLV","78553","700","149996","N"
"NQTRF","2023-11-17","SLV","2357673","1996","3523971","Q"
"NCTRF","2023-11-16","SLV","9586","0","19080","B"
"NQTRF","2023-11-16","SLV","2910228","2655","4914746","Q"
"NYTRF","2023-11-16","SLV","225607","1729","329077","N"
"NQTRF","2023-11-15","SLV","3188952","5871","5472772","Q"
"NYTRF","2023-11-15","SLV","67520","1235","235718","N"
"NCTRF","2023-11-15","SLV","4104","0","9140","B"
"NCTRF","2023-11-14","SLV","7115","0","15547","B"
"NYTRF","2023-11-14","SLV","483428","9451","607014","N"
"NQTRF","2023-11-14","SLV","2647548","3487","4913138","Q"
"NCTRF","2023-11-13","SLV","1600","0","16142","B"
"NYTRF","2023-11-13","SLV","21262","2084","248618","N"
"NQTRF","2023-11-13","SLV","1326968","4814","2479404","Q"
"NQTRF","2023-11-10","SLV","2789865","2252","3841724","Q"
"NCTRF","2023-11-10","SLV","1561","0","1698","B"
"NYTRF","2023-11-10","SLV","153959","1847","279212","N"
"NCTRF","2023-11-09","SLV","5427","0","13751","B"
"NYTRF","2023-11-09","SLV","181594","2574","1305812","N"
"NQTRF","2023-11-09","SLV","2374936","18327","3643918","Q"
"NYTRF","2023-11-08","SLV","59700","634","162675","N"
"NCTRF","2023-11-08","SLV","3295","0","7271","B"
"NQTRF","2023-11-08","SLV","4039747","1304","5684789","Q"
"NYTRF","2023-11-07","SLV","67996","1742","146590","N"
"NQTRF","2023-11-07","SLV","3181795","1417","5675235","Q"
"NCTRF","2023-11-07","SLV","9503","0","12475","B"
"NQTRF","2023-11-06","SLV","3013391","6414","4225822","Q"
"NCTRF","2023-11-06","SLV","2760","0","7814","B"
"NYTRF","2023-11-06","SLV","35160","848","150147","N"
"NQTRF","2023-11-03","SLV","3783240","16300","6185514","Q"
"NCTRF","2023-11-03","SLV","48580","0","55750","B"
"NYTRF","2023-11-03","SLV","97585","1986","278317","N"
"NCTRF","2023-11-02","SLV","17182","0","26690","B"
"NYTRF","2023-11-02","SLV","57014","815","157382","N"
"NQTRF","2023-11-02","SLV","2411723","83931","3547299","Q"
"NCTRF","2023-11-01","SLV","1714","0","4664","B"
"NYTRF","2023-11-01","SLV","84851","1739","218893","N"
"NQTRF","2023-11-01","SLV","3247202","1426","4810371","Q"
"NCTRF","2023-10-31","SLV","13728","0","20900","B"
"NQTRF","2023-10-31","SLV","2533034","19689","3658519","Q"
"NYTRF","2023-10-31","SLV","209040","1198","377771","N"
"NCTRF","2023-10-30","SLV","10012","0","12985","B"
"NQTRF","2023-10-30","SLV","2020268","1834","3769811","Q"
"NYTRF","2023-10-30","SLV","90702","1242","182362","N"
"NQTRF","2023-10-27","SLV","2163764","869","3959308","Q"
"NCTRF","2023-10-27","SLV","10450","0","14238","B"
"NYTRF","2023-10-27","SLV","82772","471","141261","N"
"NYTRF","2023-10-26","SLV","97285","838","167510","N"
"NCTRF","2023-10-26","SLV","3136","0","13669","B"
"NQTRF","2023-10-26","SLV","1370794","1147","2750839","Q"
"NCTRF","2023-10-25","SLV","1337","0","11658","B"
"NQTRF","2023-10-25","SLV","1270601","300","3004507","Q"
"NYTRF","2023-10-25","SLV","79584","0","158984","N"
"NYTRF","2023-10-24","SLV","66462","635","162607","N"
"NCTRF","2023-10-24","SLV","11508","0","13195","B"
"NQTRF","2023-10-24","SLV","1976574","2398","3058005","Q"
"NYTRF","2023-10-23","SLV","69019","1015","169803","N"
"NQTRF","2023-10-23","SLV","1763136","861","2988599","Q"
"NCTRF","2023-10-23","SLV","2640","0","9169","B"
"NCTRF","2023-10-20","SLV","14735","0","44645","B"
"NYTRF","2023-10-20","SLV","213050","5369","406372","N"
"NQTRF","2023-10-20","SLV","6482016","9272","10153432","Q"
"NCTRF","2023-10-19","SLV","3706","0","6307","B"
"NYTRF","2023-10-19","SLV","280413","591","465521","N"
"NQTRF","2023-10-19","SLV","1433728","1394","3637484","Q"
"NCTRF","2023-10-18","SLV","7448","0","14830","B"
"NQTRF","2023-10-18","SLV","1353564","10981","3879263","Q"
"NYTRF","2023-10-18","SLV","231871","475","402192","N"
"NYTRF","2023-10-17","SLV","76420","1684","190397","N"
"NCTRF","2023-10-17","SLV","4041","0","21262","B"
"NQTRF","2023-10-17","SLV","2193830","3949","4314567","Q"
"NYTRF","2023-10-16","SLV","798745","1057","1186302","N"
"NCTRF","2023-10-16","SLV","19854","0","28776","B"
"NQTRF","2023-10-16","SLV","1610350","646","3981495","Q"
"NQTRF","2023-10-13","SLV","3146032","1240","7591975","Q"
"NCTRF","2023-10-13","SLV","17962","0","29533","B"
"NYTRF","2023-10-13","SLV","436008","382","643619","N"
"NQTRF","2023-10-12","SLV","1417676","2234","3411194","Q"
"NYTRF","2023-10-12","SLV","187553","607","322277","N"
"NCTRF","2023-10-12","SLV","7415","0","12030","B"
"NCTRF","2023-10-11","SLV","6911","0","16546","B"
"NQTRF","2023-10-11","SLV","2034114","831","4860700","Q"
"NYTRF","2023-10-11","SLV","244377","732","400675","N"
"NQTRF","2023-10-10","SLV","1634259","1327","3692268","Q"
"NCTRF","2023-10-10","SLV","7359","0","11908","B"
"NYTRF","2023-10-10","SLV","19126","485","459324","N"
"NCTRF","2023-10-09","SLV","10056","0","29158","B"
"NYTRF","2023-10-09","SLV","39015","683","161174","N"
"NQTRF","2023-10-09","SLV","2646948","910","4941253","Q"
"NCTRF","2023-10-06","SLV","12002","0","37107","B"
"NYTRF","2023-10-06","SLV","250173","5717","884898","N"
"NQTRF","2023-10-06","SLV","2357304","5592","5725171","Q"
"NQTRF","2023-10-05","SLV","1826815","9849","4204567","Q"
"NCTRF","2023-10-05","SLV","9037","0","25596","B"
"NYTRF","2023-10-05","SLV","116866","235","288433","N"
"NQTRF","2023-10-04","SLV","2540577","1493","4952268","Q"
"NYTRF","2023-10-04","SLV","40369","4494","259391","N"
"NCTRF","2023-10-04","SLV","11833","0","25133","B"
"NQTRF","2023-10-03","SLV","4315844","2348","7218487","Q"
"NYTRF","2023-10-03","SLV","370070","1769","542742","N"
"NCTRF","2023-10-03","SLV","14804","0","36694","B"
"NCTRF","2023-10-02","SLV","48046","0","58090","B"
"NQTRF","2023-10-02","SLV","7598933","9509","11095334","Q"
"NYTRF","2023-10-02","SLV","209865","1593","378833","N"
"NYTRF","2023-09-29","SLV","484372","1730","799461","N"
"NQTRF","2023-09-29","SLV","4456978","3269","8321407","Q"
"NCTRF","2023-09-29","SLV","31764","0","43129","B"
"NCTRF","2023-09-28","SLV","6653","0","16259","B"
"NYTRF","2023-09-28","SLV","887277","234","976802","N"
"NQTRF","2023-09-28","SLV","820554","304","2120137","Q"
"NCTRF","2023-09-27","SLV","18289","0","20630","B"
"NYTRF","2023-09-27","SLV","49551","6825","220001","N"
"NQTRF","2023-09-27","SLV","1759020","5081","3447256","Q"
"NQTRF","2023-09-26","SLV","1570135","8854","4092651","Q"
"NCTRF","2023-09-26","SLV","11620","0","27555","B"
"NYTRF","2023-09-26","SLV","38402","780","138948","N"
"NYTRF","2023-09-25","SLV","134943","230","215721","N"
"NCTRF","2023-09-25","SLV","18689","0","23996","B"
"NQTRF","2023-09-25","SLV","1907978","721","3826178","Q"
"NYTRF","2023-09-22","SLV","646135","383","810013","N"
"NCTRF","2023-09-22","SLV","15575","0","24235","B"
"NQTRF","2023-09-22","SLV","2022026","12060","3494221","Q"
"NYTRF","2023-09-21","SLV","107491","1016","190362","N"
"NCTRF","2023-09-21","SLV","25318","0","36976","B"
"NQTRF","2023-09-21","SLV","1453542","1716","3030296","Q"
"NYTRF","2023-09-20","SLV","406084","4082","542922","N"
"NQTRF","2023-09-20","SLV","2004169","1118","3776661","Q"
"NCTRF","2023-09-20","SLV","4549","0","12859","B"
