Strategy report
Symbol: SILJ
Work Time: 10/26/22 - 10/25/23


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;shared_kg_EveryTickOHLC1(Close: 9.73);Sell to Close;-1.0;$9.73;10/26/22;$0.30;$0.00;-1.0;
2;shared_kg_EveryTickOHLC1(Open: 9.43);Buy to Open;1.0;$9.43;10/26/22;;$0.30;0.0;
3;shared_kg_EveryTickOHLC1(Close: 9.49);Sell to Close;-1.0;$9.49;10/27/22;($0.25);$0.30;-1.0;
4;shared_kg_EveryTickOHLC1(Open: 9.74);Buy to Open;1.0;$9.74;10/27/22;;$0.05;0.0;
5;shared_kg_EveryTickOHLC1(Close: 9.35);Sell to Close;-1.0;$9.35;10/28/22;($0.04);$0.05;-1.0;
6;shared_kg_EveryTickOHLC1(Open: 9.39);Buy to Open;1.0;$9.39;10/28/22;;$0.01;0.0;
7;shared_kg_EveryTickOHLC1(Close: 9.25);Sell to Close;-1.0;$9.25;10/31/22;$0.04;$0.01;-1.0;
8;shared_kg_EveryTickOHLC1(Open: 9.21);Buy to Open;1.0;$9.21;10/31/22;;$0.05;0.0;
9;shared_kg_EveryTickOHLC1(Close: 9.55);Sell to Close;-1.0;$9.55;11/1/22;$0.01;$0.05;-1.0;
10;shared_kg_EveryTickOHLC1(Open: 9.54);Buy to Open;1.0;$9.54;11/1/22;;$0.06;0.0;
11;shared_kg_EveryTickOHLC1(Close: 9.05);Sell to Close;-1.0;$9.05;11/2/22;($0.57);$0.06;-1.0;
12;shared_kg_EveryTickOHLC1(Open: 9.62);Buy to Open;1.0;$9.62;11/2/22;;($0.51);0.0;
13;shared_kg_EveryTickOHLC1(Close: 9.04);Sell to Close;-1.0;$9.04;11/3/22;$0.12;($0.51);-1.0;
14;shared_kg_EveryTickOHLC1(Open: 8.921);Buy to Open;1.0;$8.92;11/3/22;;($0.39);0.0;
15;shared_kg_EveryTickOHLC1(Close: 9.93);Sell to Close;-1.0;$9.93;11/4/22;$0.35;($0.39);-1.0;
16;shared_kg_EveryTickOHLC1(Open: 9.58);Buy to Open;1.0;$9.58;11/4/22;;($0.04);0.0;
17;shared_kg_EveryTickOHLC1(Close: 9.99);Sell to Close;-1.0;$9.99;11/7/22;($0.01);($0.04);-1.0;
18;shared_kg_EveryTickOHLC1(Open: 10);Buy to Open;1.0;$10.00;11/7/22;;($0.05);0.0;
19;shared_kg_EveryTickOHLC1(Close: 10.35);Sell to Close;-1.0;$10.35;11/8/22;$0.30;($0.05);-1.0;
20;shared_kg_EveryTickOHLC1(Open: 10.05);Buy to Open;1.0;$10.05;11/8/22;;$0.25;0.0;
21;shared_kg_EveryTickOHLC1(Close: 9.89);Sell to Close;-1.0;$9.89;11/9/22;($0.34);$0.25;-1.0;
22;shared_kg_EveryTickOHLC1(Open: 10.23);Buy to Open;1.0;$10.23;11/9/22;;($0.09);0.0;
23;shared_kg_EveryTickOHLC1(Close: 10.59);Sell to Close;-1.0;$10.59;11/10/22;$0.05;($0.09);-1.0;
24;shared_kg_EveryTickOHLC1(Open: 10.54);Buy to Open;1.0;$10.54;11/10/22;;($0.04);0.0;
25;shared_kg_EveryTickOHLC1(Close: 10.64);Sell to Close;-1.0;$10.64;11/11/22;($0.05);($0.04);-1.0;
26;shared_kg_EveryTickOHLC1(Open: 10.69);Buy to Open;1.0;$10.69;11/11/22;;($0.09);0.0;
27;shared_kg_EveryTickOHLC1(Close: 10.73);Sell to Close;-1.0;$10.73;11/14/22;$0.14;($0.09);-1.0;
28;shared_kg_EveryTickOHLC1(Open: 10.59);Buy to Open;1.0;$10.59;11/14/22;;$0.05;0.0;
29;shared_kg_EveryTickOHLC1(Close: 10.47);Sell to Close;-1.0;$10.47;11/15/22;($0.33);$0.05;-1.0;
30;shared_kg_EveryTickOHLC1(Open: 10.8);Buy to Open;1.0;$10.80;11/15/22;;($0.28);0.0;
31;shared_kg_EveryTickOHLC1(Close: 10.38);Sell to Close;-1.0;$10.38;11/16/22;($0.04);($0.28);-1.0;
32;shared_kg_EveryTickOHLC1(Open: 10.42);Buy to Open;1.0;$10.42;11/16/22;;($0.32);0.0;
33;shared_kg_EveryTickOHLC1(Close: 10.17);Sell to Close;-1.0;$10.17;11/17/22;$0.08;($0.32);-1.0;
34;shared_kg_EveryTickOHLC1(Open: 10.09);Buy to Open;1.0;$10.09;11/17/22;;($0.24);0.0;
35;shared_kg_EveryTickOHLC1(Close: 10.24);Sell to Close;-1.0;$10.24;11/18/22;$0.01;($0.24);-1.0;
36;shared_kg_EveryTickOHLC1(Open: 10.23);Buy to Open;1.0;$10.23;11/18/22;;($0.23);0.0;
37;shared_kg_EveryTickOHLC1(Close: 10.23);Sell to Close;-1.0;$10.23;11/21/22;$0.04;($0.23);-1.0;
38;shared_kg_EveryTickOHLC1(Open: 10.19);Buy to Open;1.0;$10.19;11/21/22;;($0.19);0.0;
39;shared_kg_EveryTickOHLC1(Close: 10.68);Sell to Close;-1.0;$10.68;11/22/22;$0.29;($0.19);-1.0;
40;shared_kg_EveryTickOHLC1(Open: 10.39);Buy to Open;1.0;$10.39;11/22/22;;$0.10;0.0;
41;shared_kg_EveryTickOHLC1(Close: 10.82);Sell to Close;-1.0;$10.82;11/23/22;$0.10;$0.10;-1.0;
42;shared_kg_EveryTickOHLC1(Open: 10.72);Buy to Open;1.0;$10.72;11/23/22;;$0.20;0.0;
43;shared_kg_EveryTickOHLC1(Close: 10.72);Sell to Close;-1.0;$10.72;11/25/22;($0.06);$0.20;-1.0;
44;shared_kg_EveryTickOHLC1(Open: 10.78);Buy to Open;1.0;$10.78;11/25/22;;$0.14;0.0;
45;shared_kg_EveryTickOHLC1(Close: 10.1);Sell to Close;-1.0;$10.10;11/28/22;($0.60);$0.14;-1.0;
46;shared_kg_EveryTickOHLC1(Open: 10.7);Buy to Open;1.0;$10.70;11/28/22;;($0.46);0.0;
47;shared_kg_EveryTickOHLC1(Close: 10.39);Sell to Close;-1.0;$10.39;11/29/22;$0.09;($0.46);-1.0;
48;shared_kg_EveryTickOHLC1(Open: 10.3);Buy to Open;1.0;$10.30;11/29/22;;($0.37);0.0;
49;shared_kg_EveryTickOHLC1(Close: 10.81);Sell to Close;-1.0;$10.81;11/30/22;$0.27;($0.37);-1.0;
50;shared_kg_EveryTickOHLC1(Open: 10.54);Buy to Open;1.0;$10.54;11/30/22;;($0.10);0.0;
51;shared_kg_EveryTickOHLC1(Close: 11.14);Sell to Close;-1.0;$11.14;12/1/22;$0.12;($0.10);-1.0;
52;shared_kg_EveryTickOHLC1(Open: 11.02);Buy to Open;1.0;$11.02;12/1/22;;$0.02;0.0;
53;shared_kg_EveryTickOHLC1(Close: 11.21);Sell to Close;-1.0;$11.21;12/2/22;$0.39;$0.02;-1.0;
54;shared_kg_EveryTickOHLC1(Open: 10.82);Buy to Open;1.0;$10.82;12/2/22;;$0.41;0.0;
55;shared_kg_EveryTickOHLC1(Close: 10.66);Sell to Close;-1.0;$10.66;12/5/22;($0.39);$0.41;-1.0;
56;shared_kg_EveryTickOHLC1(Open: 11.05);Buy to Open;1.0;$11.05;12/5/22;;$0.02;0.0;
57;shared_kg_EveryTickOHLC1(Close: 10.62);Sell to Close;-1.0;$10.62;12/6/22;($0.08);$0.02;-1.0;
58;shared_kg_EveryTickOHLC1(Open: 10.7);Buy to Open;1.0;$10.70;12/6/22;;($0.06);0.0;
59;shared_kg_EveryTickOHLC1(Close: 10.85);Sell to Close;-1.0;$10.85;12/7/22;$0.09;($0.06);-1.0;
60;shared_kg_EveryTickOHLC1(Open: 10.76);Buy to Open;1.0;$10.76;12/7/22;;$0.03;0.0;
61;shared_kg_EveryTickOHLC1(Close: 10.82);Sell to Close;-1.0;$10.82;12/8/22;($0.24);$0.03;-1.0;
62;shared_kg_EveryTickOHLC1(Open: 11.06);Buy to Open;1.0;$11.06;12/8/22;;($0.21);0.0;
63;shared_kg_EveryTickOHLC1(Close: 10.72);Sell to Close;-1.0;$10.72;12/9/22;($0.21);($0.21);-1.0;
64;shared_kg_EveryTickOHLC1(Open: 10.93);Buy to Open;1.0;$10.93;12/9/22;;($0.42);0.0;
65;shared_kg_EveryTickOHLC1(Close: 10.65);Sell to Close;-1.0;$10.65;12/12/22;$0.05;($0.42);-1.0;
66;shared_kg_EveryTickOHLC1(Open: 10.6);Buy to Open;1.0;$10.60;12/12/22;;($0.37);0.0;
67;shared_kg_EveryTickOHLC1(Close: 10.88);Sell to Close;-1.0;$10.88;12/13/22;($0.16);($0.37);-1.0;
68;shared_kg_EveryTickOHLC1(Open: 11.04);Buy to Open;1.0;$11.04;12/13/22;;($0.53);0.0;
69;shared_kg_EveryTickOHLC1(Close: 10.81);Sell to Close;-1.0;$10.81;12/14/22;($0.12);($0.53);-1.0;
70;shared_kg_EveryTickOHLC1(Open: 10.93);Buy to Open;1.0;$10.93;12/14/22;;($0.65);0.0;
71;shared_kg_EveryTickOHLC1(Close: 10.39);Sell to Close;-1.0;$10.39;12/15/22;($0.10);($0.65);-1.0;
72;shared_kg_EveryTickOHLC1(Open: 10.49);Buy to Open;1.0;$10.49;12/15/22;;($0.75);0.0;
73;shared_kg_EveryTickOHLC1(Close: 10.6);Sell to Close;-1.0;$10.60;12/16/22;$0.24;($0.75);-1.0;
74;shared_kg_EveryTickOHLC1(Open: 10.36);Buy to Open;1.0;$10.36;12/16/22;;($0.51);0.0;
75;shared_kg_EveryTickOHLC1(Close: 10.05);Sell to Close;-1.0;$10.05;12/19/22;($0.47);($0.51);-1.0;
76;shared_kg_EveryTickOHLC1(Open: 10.52);Buy to Open;1.0;$10.52;12/19/22;;($0.98);0.0;
77;shared_kg_EveryTickOHLC1(Close: 10.54);Sell to Close;-1.0;$10.54;12/20/22;$0.26;($0.98);-1.0;
78;shared_kg_EveryTickOHLC1(Open: 10.28);Buy to Open;1.0;$10.28;12/20/22;;($0.72);0.0;
79;shared_kg_EveryTickOHLC1(Close: 10.63);Sell to Close;-1.0;$10.63;12/21/22;($0.05);($0.72);-1.0;
80;shared_kg_EveryTickOHLC1(Open: 10.68);Buy to Open;1.0;$10.68;12/21/22;;($0.77);0.0;
81;shared_kg_EveryTickOHLC1(Close: 10.61);Sell to Close;-1.0;$10.61;12/22/22;$0.10;($0.77);-1.0;
82;shared_kg_EveryTickOHLC1(Open: 10.51);Buy to Open;1.0;$10.51;12/22/22;;($0.67);0.0;
83;shared_kg_EveryTickOHLC1(Close: 10.74);Sell to Close;-1.0;$10.74;12/23/22;$0.15;($0.67);-1.0;
84;shared_kg_EveryTickOHLC1(Open: 10.59);Buy to Open;1.0;$10.59;12/23/22;;($0.52);0.0;
