"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2024-12-13","TRVI","8697","0","12398","B"
"NQTRF","2024-12-13","TRVI","729818","14035","2176765","Q"
"NYTRF","2024-12-13","TRVI","67569","0","126893","N"
"NCTRF","2024-12-12","TRVI","33020","12050","75280","B"
"NQTRF","2024-12-12","TRVI","14645430","2434372","28618345","Q"
"NYTRF","2024-12-12","TRVI","1328505","57331","2227678","N"
"NQTRF","2024-12-11","TRVI","89247","3003","418667","Q"
"NYTRF","2024-12-11","TRVI","5698","0","7440","N"
"NCTRF","2024-12-10","TRVI","100","0","100","B"
"NQTRF","2024-12-10","TRVI","37017","0","91620","Q"
"NYTRF","2024-12-10","TRVI","5315","0","6696","N"
"NQTRF","2024-12-09","TRVI","104247","0","205371","Q"
"NYTRF","2024-12-09","TRVI","4255","0","11079","N"
"NCTRF","2024-12-06","TRVI","100","0","100","B"
"NQTRF","2024-12-06","TRVI","111591","449","156677","Q"
"NYTRF","2024-12-06","TRVI","2818","1607","5517","N"
"NQTRF","2024-12-05","TRVI","101741","8555","193745","Q"
"NYTRF","2024-12-05","TRVI","2234","2234","5061","N"
"NCTRF","2024-12-04","TRVI","552","0","600","B"
"NQTRF","2024-12-04","TRVI","504898","31139","879887","Q"
"NYTRF","2024-12-04","TRVI","1347","400","14323","N"
"NQTRF","2024-12-03","TRVI","24823","1190","33553","Q"
"NYTRF","2024-12-03","TRVI","929","0","1377","N"
"NQTRF","2024-12-02","TRVI","28345","0","79633","Q"
"NYTRF","2024-12-02","TRVI","756","0","2452","N"
"NQTRF","2024-11-29","TRVI","9298","0","30808","Q"
"NYTRF","2024-11-29","TRVI","178","0","967","N"
"NQTRF","2024-11-27","TRVI","18249","0","63403","Q"
"NYTRF","2024-11-27","TRVI","525","0","1822","N"
"NQTRF","2024-11-26","TRVI","17429","0","52555","Q"
"NYTRF","2024-11-26","TRVI","158","0","251","N"
"NQTRF","2024-11-25","TRVI","38794","0","92355","Q"
"NYTRF","2024-11-25","TRVI","3220","0","5327","N"
"NQTRF","2024-11-22","TRVI","110002","1162","1521419","Q"
"NYTRF","2024-11-22","TRVI","1019","0","8365","N"
"NQTRF","2024-11-21","TRVI","30699","0","47458","Q"
"NYTRF","2024-11-21","TRVI","1306","0","1577","N"
"NQTRF","2024-11-20","TRVI","48705","0","243407","Q"
"NYTRF","2024-11-20","TRVI","4200","0","4743","N"
"NQTRF","2024-11-19","TRVI","141792","1167","581048","Q"
"NYTRF","2024-11-19","TRVI","442","0","3857","N"
"NQTRF","2024-11-18","TRVI","58972","0","117029","Q"
"NYTRF","2024-11-18","TRVI","847","0","1555","N"
"NQTRF","2024-11-15","TRVI","107010","12207","208241","Q"
"NYTRF","2024-11-15","TRVI","3274","0","4618","N"
"NQTRF","2024-11-14","TRVI","43196","0","898159","Q"
"NYTRF","2024-11-14","TRVI","1288","0","1479","N"
"NQTRF","2024-11-13","TRVI","49810","0","104145","Q"
"NYTRF","2024-11-13","TRVI","185","0","1075","N"
"NQTRF","2024-11-12","TRVI","57660","0","97627","Q"
"NYTRF","2024-11-12","TRVI","959","0","3833","N"
"NQTRF","2024-11-11","TRVI","148169","0","1077387","Q"
"NYTRF","2024-11-11","TRVI","319","0","4346","N"
"NQTRF","2024-11-08","TRVI","157497","0","358126","Q"
"NYTRF","2024-11-08","TRVI","2476","0","4116","N"
"NQTRF","2024-11-07","TRVI","148771","0","505346","Q"
"NYTRF","2024-11-07","TRVI","944","0","1349","N"
"NQTRF","2024-11-06","TRVI","16779","0","97987","Q"
"NYTRF","2024-11-06","TRVI","102","0","6205","N"
"NCTRF","2024-11-05","TRVI","3","0","3","B"
"NQTRF","2024-11-05","TRVI","20014","0","55450","Q"
"NYTRF","2024-11-05","TRVI","782","0","4505","N"
"NQTRF","2024-11-04","TRVI","15691","0","68371","Q"
"NYTRF","2024-11-04","TRVI","104","0","1846","N"
"NQTRF","2024-11-01","TRVI","40121","0","152181","Q"
"NYTRF","2024-11-01","TRVI","809","0","3065","N"
"NQTRF","2024-10-31","TRVI","10592","0","60187","Q"
"NYTRF","2024-10-31","TRVI","400","0","1864","N"
"NQTRF","2024-10-30","TRVI","12942","0","54948","Q"
"NYTRF","2024-10-30","TRVI","342","0","2645","N"
"NQTRF","2024-10-29","TRVI","31908","910","121239","Q"
"NYTRF","2024-10-29","TRVI","205","0","880","N"
"NQTRF","2024-10-28","TRVI","38204","0","166801","Q"
"NYTRF","2024-10-28","TRVI","512","0","11997","N"
"NQTRF","2024-10-25","TRVI","17099","0","512779","Q"
