"Trade Facility","Date","Symbol","Short Volume","Short Exempt Volume","Total Volume","Market"
"NCTRF","2023-10-20","SILJ","300","0","1478","B"
"NYTRF","2023-10-20","SILJ","11150","0","21845","N"
"NQTRF","2023-10-20","SILJ","206226","500","488502","Q"
"NQTRF","2023-10-19","SILJ","132970","1194","352406","Q"
"NYTRF","2023-10-19","SILJ","6499","0","24217","N"
"NCTRF","2023-10-19","SILJ","3180","0","3580","B"
"NQTRF","2023-10-18","SILJ","284026","226","964967","Q"
"NYTRF","2023-10-18","SILJ","3337","1474","32489","N"
"NCTRF","2023-10-18","SILJ","200","0","900","B"
"NQTRF","2023-10-17","SILJ","270206","0","561179","Q"
"NYTRF","2023-10-17","SILJ","14995","0","18974","N"
"NCTRF","2023-10-17","SILJ","734","0","3034","B"
"NQTRF","2023-10-16","SILJ","116549","828","271352","Q"
"NYTRF","2023-10-16","SILJ","15246","1423","19484","N"
"NCTRF","2023-10-16","SILJ","2220","0","2247","B"
"NYTRF","2023-10-13","SILJ","4913","0","11235","N"
"NQTRF","2023-10-13","SILJ","458594","199","1012335","Q"
"NYTRF","2023-10-12","SILJ","811","0","7548","N"
"NQTRF","2023-10-12","SILJ","416452","1571","716567","Q"
"NCTRF","2023-10-12","SILJ","50","0","230","B"
"NYTRF","2023-10-11","SILJ","3351","1","21288","N"
"NQTRF","2023-10-11","SILJ","159866","0","380956","Q"
"NYTRF","2023-10-10","SILJ","3699","0","7950","N"
"NQTRF","2023-10-10","SILJ","91209","1055","251264","Q"
"NQTRF","2023-10-09","SILJ","191857","1841","325899","Q"
"NCTRF","2023-10-09","SILJ","1500","0","1600","B"
"NYTRF","2023-10-09","SILJ","7263","0","17686","N"
"NQTRF","2023-10-06","SILJ","332822","0","572878","Q"
"NCTRF","2023-10-06","SILJ","1921","0","2071","B"
"NYTRF","2023-10-06","SILJ","26601","1361","30262","N"
"NQTRF","2023-10-05","SILJ","198195","0","392606","Q"
"NYTRF","2023-10-05","SILJ","7695","0","12975","N"
"NYTRF","2023-10-04","SILJ","2194","0","7691","N"
"NCTRF","2023-10-04","SILJ","82","0","282","B"
"NQTRF","2023-10-04","SILJ","391576","312","773298","Q"
"NQTRF","2023-10-03","SILJ","434675","200","900506","Q"
"NCTRF","2023-10-03","SILJ","3233","0","5513","B"
"NYTRF","2023-10-03","SILJ","18438","0","35428","N"
"NYTRF","2023-10-02","SILJ","14455","0","31626","N"
"NCTRF","2023-10-02","SILJ","1880","0","3757","B"
"NQTRF","2023-10-02","SILJ","539244","871","1004450","Q"
"NCTRF","2023-09-29","SILJ","223","0","3607","B"
"NYTRF","2023-09-29","SILJ","18265","129","39135","N"
"NQTRF","2023-09-29","SILJ","422426","12462","855037","Q"
"NCTRF","2023-09-28","SILJ","200","0","225","B"
"NQTRF","2023-09-28","SILJ","265917","0","613999","Q"
"NYTRF","2023-09-28","SILJ","16340","0","18455","N"
"NYTRF","2023-09-27","SILJ","19770","455","25308","N"
"NQTRF","2023-09-27","SILJ","565653","700","1048463","Q"
"NCTRF","2023-09-27","SILJ","404","0","604","B"
"NQTRF","2023-09-26","SILJ","285048","4170","671042","Q"
"NCTRF","2023-09-26","SILJ","1347","0","1498","B"
"NYTRF","2023-09-26","SILJ","20636","0","29989","N"
"NQTRF","2023-09-25","SILJ","195994","838","478195","Q"
"NYTRF","2023-09-25","SILJ","8262","1048","46247","N"
"NCTRF","2023-09-25","SILJ","3400","0","5686","B"
"NCTRF","2023-09-22","SILJ","580","0","1080","B"
"NQTRF","2023-09-22","SILJ","328828","0","635328","Q"
"NYTRF","2023-09-22","SILJ","2156","0","7193","N"
"NQTRF","2023-09-21","SILJ","480712","400","883214","Q"
"NCTRF","2023-09-21","SILJ","1250","0","1287","B"
"NYTRF","2023-09-21","SILJ","5138","0","13230","N"
"NCTRF","2023-09-20","SILJ","4014","0","4314","B"
"NQTRF","2023-09-20","SILJ","282048","317","698935","Q"
"NYTRF","2023-09-20","SILJ","9040","899","45097","N"
"NCTRF","2023-09-19","SILJ","802","0","1202","B"
"NYTRF","2023-09-19","SILJ","6869","0","35512","N"
"NQTRF","2023-09-19","SILJ","232587","0","583488","Q"
"NQTRF","2023-09-18","SILJ","162613","0","482978","Q"
"NYTRF","2023-09-18","SILJ","13535","0","17659","N"
"NCTRF","2023-09-15","SILJ","2099","0","2455","B"
"NYTRF","2023-09-15","SILJ","13467","0","22246","N"
"NQTRF","2023-09-15","SILJ","294076","0","552385","Q"
"NCTRF","2023-09-14","SILJ","1200","0","1705","B"
"NYTRF","2023-09-14","SILJ","2391","0","4538","N"
"NQTRF","2023-09-14","SILJ","266086","100","687383","Q"
"NQTRF","2023-09-13","SILJ","133992","102","391611","Q"
"NYTRF","2023-09-13","SILJ","13624","0","18686","N"
"NCTRF","2023-09-13","SILJ","1800","0","1800","B"
"NCTRF","2023-09-12","SILJ","650","0","650","B"
"NQTRF","2023-09-12","SILJ","104915","0","309691","Q"
"NYTRF","2023-09-12","SILJ","2880","0","8270","N"
"NYTRF","2023-09-11","SILJ","7379","937","23252","N"
"NCTRF","2023-09-11","SILJ","100","0","100","B"
"NQTRF","2023-09-11","SILJ","135048","0","449202","Q"
"NQTRF","2023-09-08","SILJ","167334","0","441328","Q"
"NYTRF","2023-09-08","SILJ","514","0","2075","N"
"NCTRF","2023-09-07","SILJ","100","0","500","B"
"NQTRF","2023-09-07","SILJ","354157","0","720707","Q"
"NYTRF","2023-09-07","SILJ","937","0","14815","N"
"NCTRF","2023-09-06","SILJ","2384","0","2582","B"
"NYTRF","2023-09-06","SILJ","2260","0","6548","N"
"NQTRF","2023-09-06","SILJ","411199","13151","701632","Q"
"NYTRF","2023-09-05","SILJ","2785","541","8477","N"
"NQTRF","2023-09-05","SILJ","297744","0","742360","Q"
"NCTRF","2023-09-01","SILJ","1000","0","1400","B"
"NYTRF","2023-09-01","SILJ","9935","0","68980","N"
"NQTRF","2023-09-01","SILJ","277315","1443","747853","Q"
"NQTRF","2023-08-31","SILJ","212977","0","696665","Q"
"NYTRF","2023-08-31","SILJ","4931","0","10592","N"
"NYTRF","2023-08-30","SILJ","17715","0","36376","N"
"NQTRF","2023-08-30","SILJ","205824","145","493384","Q"
"NQTRF","2023-08-29","SILJ","370243","0","648567","Q"
"NCTRF","2023-08-29","SILJ","2400","0","3331","B"
"NYTRF","2023-08-29","SILJ","25316","0","60721","N"
"NQTRF","2023-08-28","SILJ","235150","4200","449250","Q"
"NCTRF","2023-08-28","SILJ","1200","0","1200","B"
"NYTRF","2023-08-28","SILJ","31813","0","79803","N"
"NYTRF","2023-08-25","SILJ","4243","1","11725","N"
"NQTRF","2023-08-25","SILJ","369669","157","757306","Q"
"NCTRF","2023-08-25","SILJ","550","0","610","B"
"NYTRF","2023-08-24","SILJ","11268","0","19220","N"
"NQTRF","2023-08-24","SILJ","303704","0","857648","Q"
"NQTRF","2023-08-23","SILJ","643142","0","989751","Q"
"NYTRF","2023-08-23","SILJ","19237","0","46546","N"
"NCTRF","2023-08-23","SILJ","1400","0","1700","B"
"NQTRF","2023-08-22","SILJ","216697","0","409846","Q"
"NYTRF","2023-08-22","SILJ","7168","497","17429","N"
"NYTRF","2023-08-21","SILJ","22713","0","119473","N"
"NCTRF","2023-08-21","SILJ","388","0","1588","B"
"NQTRF","2023-08-21","SILJ","415547","0","841721","Q"
"NYTRF","2023-08-18","SILJ","12513","0","16251","N"
"NQTRF","2023-08-18","SILJ","161935","0","455347","Q"
"NQTRF","2023-08-17","SILJ","327937","0","1431601","Q"
"NYTRF","2023-08-17","SILJ","63635","0","93798","N"
"NCTRF","2023-08-17","SILJ","4125","0","5026","B"
"NYTRF","2023-08-16","SILJ","31983","1928","37932","N"
"NQTRF","2023-08-16","SILJ","162915","0","450531","Q"
"NCTRF","2023-08-16","SILJ","100","0","150","B"
"NQTRF","2023-08-15","SILJ","235286","19202","671594","Q"
"NYTRF","2023-08-15","SILJ","6037","0","36179","N"
"NYTRF","2023-08-14","SILJ","6499","0","30135","N"
